Item,Year,Month,Index
Pasta,2021,October,1.067
Pasta,2021,November,1.093
Pasta,2021,December,1.092
Pasta,2022,January,1.116
Pasta,2022,Febuary,1.148
Pasta,2022,March,1.182
Pasta,2022,April,1.217
Pasta,2022,May,1.291
Pasta,2022,June,1.316
Pasta,2022,July,1.349
Pasta,2022,August,1.368
Pasta,2022,September,1.357
Pasta,2022,October,1.349
Pasta,2022,November,1.428
Pasta,2022,December,1.434
Pasta,2023,January,1.475
Pasta,2023,Febuary,1.486
Pasta,2023,March,1.465
Pasta,2023,April,1.461
Pasta,2023,May,1.458
Pasta,2023,June,1.466
Pasta,2023,July,1.42
Pasta,2023,August,1.404
Pasta,2023,September,1.41
Pasta,2023,October,1.4
Pasta,2023,November,1.369
Pasta,2023,December,1.377
Pasta,2024,January,1.425
Pasta,2024,Febuary,1.432
Pasta,2024,March,1.42
Pasta,2024,April,1.422
Pasta,2024,May,1.377
Pasta,2024,June,1.435
Pasta,2024,July,1.432
Pasta,2024,August,1.421
Pasta,2024,September,1.431
Pasta,2024,October,1.445
Pasta,2024,November,None
Pasta,2024,December,None
White Bread,2005,January,0.997
White Bread,2005,Febuary,0.982
White Bread,2005,March,1.002
White Bread,2005,April,1.004
White Bread,2005,May,1.086
White Bread,2005,June,1.09
White Bread,2005,July,1.067
White Bread,2005,August,1.06
White Bread,2005,September,1.052
White Bread,2005,October,1.043
White Bread,2005,November,1.055
White Bread,2005,December,1.046
White Bread,2006,January,1.046
White Bread,2006,Febuary,1.029
White Bread,2006,March,1.04
White Bread,2006,April,1.072
White Bread,2006,May,1.086
White Bread,2006,June,1.074
White Bread,2006,July,1.071
White Bread,2006,August,1.088
White Bread,2006,September,1.083
White Bread,2006,October,1.097
White Bread,2006,November,1.143
White Bread,2006,December,1.137
White Bread,2007,January,1.153
White Bread,2007,Febuary,1.168
White Bread,2007,March,1.161
White Bread,2007,April,1.201
White Bread,2007,May,1.192
White Bread,2007,June,1.193
White Bread,2007,July,1.209
White Bread,2007,August,1.21
White Bread,2007,September,1.212
White Bread,2007,October,1.274
White Bread,2007,November,1.235
White Bread,2007,December,1.28
White Bread,2008,January,1.281
White Bread,2008,Febuary,1.321
White Bread,2008,March,1.35
White Bread,2008,April,1.373
White Bread,2008,May,1.37
White Bread,2008,June,1.373
White Bread,2008,July,1.384
White Bread,2008,August,1.381
White Bread,2008,September,1.379
White Bread,2008,October,1.393
White Bread,2008,November,1.377
White Bread,2008,December,1.415
White Bread,2009,January,1.381
White Bread,2009,Febuary,1.404
White Bread,2009,March,1.41
White Bread,2009,April,1.395
White Bread,2009,May,1.413
White Bread,2009,June,1.385
White Bread,2009,July,1.391
White Bread,2009,August,1.375
White Bread,2009,September,1.34
White Bread,2009,October,1.392
White Bread,2009,November,1.373
White Bread,2009,December,1.39
White Bread,2010,January,1.36
White Bread,2010,Febuary,1.361
White Bread,2010,March,1.368
White Bread,2010,April,1.363
White Bread,2010,May,1.359
White Bread,2010,June,1.383
White Bread,2010,July,1.36
White Bread,2010,August,1.372
White Bread,2010,September,1.386
White Bread,2010,October,1.407
White Bread,2010,November,1.375
White Bread,2010,December,1.386
White Bread,2011,January,1.401
White Bread,2011,Febuary,1.398
White Bread,2011,March,1.415
White Bread,2011,April,1.42
White Bread,2011,May,1.472
White Bread,2011,June,1.49
White Bread,2011,July,1.513
White Bread,2011,August,1.474
White Bread,2011,September,1.477
White Bread,2011,October,1.457
White Bread,2011,November,1.399
White Bread,2011,December,1.42
White Bread,2012,January,1.423
White Bread,2012,Febuary,1.442
White Bread,2012,March,1.395
White Bread,2012,April,1.426
White Bread,2012,May,1.412
White Bread,2012,June,1.403
White Bread,2012,July,1.427
White Bread,2012,August,1.407
White Bread,2012,September,1.401
White Bread,2012,October,1.422
White Bread,2012,November,1.418
White Bread,2012,December,1.436
White Bread,2013,January,1.422
White Bread,2013,Febuary,1.411
White Bread,2013,March,1.412
White Bread,2013,April,1.409
White Bread,2013,May,1.401
White Bread,2013,June,1.439
White Bread,2013,July,1.434
White Bread,2013,August,1.408
White Bread,2013,September,1.419
White Bread,2013,October,1.358
White Bread,2013,November,1.382
White Bread,2013,December,1.385
White Bread,2014,January,1.365
White Bread,2014,Febuary,1.388
White Bread,2014,March,1.359
White Bread,2014,April,1.388
White Bread,2014,May,1.401
White Bread,2014,June,1.4
White Bread,2014,July,1.413
White Bread,2014,August,1.396
White Bread,2014,September,1.405
White Bread,2014,October,1.414
White Bread,2014,November,1.42
White Bread,2014,December,1.466
White Bread,2015,January,1.479
White Bread,2015,Febuary,1.435
White Bread,2015,March,1.44
White Bread,2015,April,1.454
White Bread,2015,May,1.463
White Bread,2015,June,1.467
White Bread,2015,July,1.447
White Bread,2015,August,1.42
White Bread,2015,September,1.432
White Bread,2015,October,1.418
White Bread,2015,November,1.409
White Bread,2015,December,1.428
White Bread,2016,January,1.425
White Bread,2016,Febuary,1.407
White Bread,2016,March,1.416
White Bread,2016,April,1.406
White Bread,2016,May,1.382
White Bread,2016,June,1.333
White Bread,2016,July,1.349
White Bread,2016,August,1.341
White Bread,2016,September,1.329
White Bread,2016,October,1.343
White Bread,2016,November,1.362
White Bread,2016,December,1.362
White Bread,2017,January,1.351
White Bread,2017,Febuary,1.358
White Bread,2017,March,1.329
White Bread,2017,April,1.328
White Bread,2017,May,1.327
White Bread,2017,June,1.335
White Bread,2017,July,1.327
White Bread,2017,August,1.348
White Bread,2017,September,1.349
White Bread,2017,October,1.328
White Bread,2017,November,1.295
White Bread,2017,December,1.316
White Bread,2018,January,1.281
White Bread,2018,Febuary,1.265
White Bread,2018,March,1.309
White Bread,2018,April,1.281
White Bread,2018,May,1.293
White Bread,2018,June,1.279
White Bread,2018,July,1.293
White Bread,2018,August,1.302
White Bread,2018,September,1.288
White Bread,2018,October,1.277
White Bread,2018,November,1.274
White Bread,2018,December,1.29
White Bread,2019,January,1.274
White Bread,2019,Febuary,1.282
White Bread,2019,March,1.261
White Bread,2019,April,1.285
White Bread,2019,May,1.289
White Bread,2019,June,1.28
White Bread,2019,July,1.281
White Bread,2019,August,1.275
White Bread,2019,September,1.296
White Bread,2019,October,1.325
White Bread,2019,November,1.361
White Bread,2019,December,1.363
White Bread,2020,January,1.351
White Bread,2020,Febuary,1.375
White Bread,2020,March,1.374
White Bread,2020,April,1.406
White Bread,2020,May,1.412
White Bread,2020,June,1.474
White Bread,2020,July,1.485
White Bread,2020,August,1.495
White Bread,2020,September,1.492
White Bread,2020,October,1.503
White Bread,2020,November,1.515
White Bread,2020,December,1.538
White Bread,2021,January,1.546
White Bread,2021,Febuary,1.537
White Bread,2021,March,1.526
White Bread,2021,April,1.51
White Bread,2021,May,1.511
White Bread,2021,June,1.51
White Bread,2021,July,1.491
White Bread,2021,August,1.467
White Bread,2021,September,1.58
White Bread,2021,October,1.526
White Bread,2021,November,1.547
White Bread,2021,December,1.532
White Bread,2022,January,1.555
White Bread,2022,Febuary,1.578
White Bread,2022,March,1.607
White Bread,2022,April,1.612
White Bread,2022,May,1.606
White Bread,2022,June,1.691
White Bread,2022,July,1.715
White Bread,2022,August,1.756
White Bread,2022,September,1.749
White Bread,2022,October,1.814
White Bread,2022,November,1.847
White Bread,2022,December,1.873
White Bread,2023,January,1.888
White Bread,2023,Febuary,1.896
White Bread,2023,March,1.936
White Bread,2023,April,1.989
White Bread,2023,May,1.951
White Bread,2023,June,1.937
White Bread,2023,July,1.98
White Bread,2023,August,1.97
White Bread,2023,September,1.972
White Bread,2023,October,2.002
White Bread,2023,November,1.976
White Bread,2023,December,2.024
White Bread,2024,January,2.033
White Bread,2024,Febuary,2.006
White Bread,2024,March,1.997
White Bread,2024,April,1.998
White Bread,2024,May,1.971
White Bread,2024,June,1.973
White Bread,2024,July,1.975
White Bread,2024,August,1.951
White Bread,2024,September,1.976
White Bread,2024,October,1.937
White Bread,2024,November,None
White Bread,2024,December,None
Whole Bread,2005,January,1.36
Whole Bread,2005,Febuary,1.37
Whole Bread,2005,March,1.393
Whole Bread,2005,April,1.35
Whole Bread,2005,May,1.359
Whole Bread,2005,June,1.353
Whole Bread,2005,July,1.375
Whole Bread,2005,August,1.406
Whole Bread,2005,September,1.407
Whole Bread,2005,October,1.279
Whole Bread,2005,November,1.302
Whole Bread,2005,December,1.287
Whole Bread,2006,January,1.34
Whole Bread,2006,Febuary,1.322
Whole Bread,2006,March,1.363
Whole Bread,2006,April,1.37
Whole Bread,2006,May,1.375
Whole Bread,2006,June,1.389
Whole Bread,2006,July,1.415
Whole Bread,2006,August,1.386
Whole Bread,2006,September,1.408
Whole Bread,2006,October,1.427
Whole Bread,2006,November,1.594
Whole Bread,2006,December,1.62
Whole Bread,2007,January,1.605
Whole Bread,2007,Febuary,1.64
Whole Bread,2007,March,1.654
Whole Bread,2007,April,1.637
Whole Bread,2007,May,1.698
Whole Bread,2007,June,1.735
Whole Bread,2007,July,1.75
Whole Bread,2007,August,1.714
Whole Bread,2007,September,1.701
Whole Bread,2007,October,1.771
