sandwich_type,bun_type,fillings,protein,sauce,toppings,spices,side_dish,drink,price
chicken,brioche,lettuce,turkey,mayo,cheese,salt,chips,soda,8.66
chicken,brioche,mayo,chicken,mayo,cheese,pepper,chips,water,9.77
chicken,brioche,cheese,chicken,mustard,tomato,pepper,salad,soda,9.42
turkey,brioche,tomato,turkey,mustard,tomato,salt,salad,soda,13.34
chicken,brioche,tomato,beef,mustard,lettuce,salt,salad,water,13.97
chicken,brioche,mustard,chicken,mayo,tomato,pepper,salad,soda,10.61
chicken,brioche,mustard,beef,mustard,lettuce,salt,chips,water,10.5
turkey,brioche,cheese,chicken,mayo,cheese,pepper,salad,soda,11.29
chicken,brioche,mayo,beef,mayo,tomato,pepper,salad,soda,6.71
turkey,brioche,mustard,chicken,mustard,lettuce,pepper,salad,soda,11.13
chicken,brioche,cheese,turkey,mustard,cheese,salt,chips,soda,9.98
turkey,brioche,cheese,beef,mayo,tomato,pepper,chips,soda,9.94
chicken,brioche,mayo,turkey,mayo,tomato,salt,salad,soda,14.65
chicken,brioche,lettuce,beef,mustard,cheese,salt,chips,water,7.1
turkey,brioche,lettuce,beef,mustard,cheese,pepper,chips,water,9.67
chicken,brioche,mustard,chicken,mayo,cheese,pepper,salad,soda,14.82
chicken,brioche,lettuce,chicken,mustard,cheese,salt,salad,soda,5.91
chicken,brioche,mustard,beef,mayo,cheese,pepper,chips,soda,8.26
chicken,brioche,mustard,beef,mustard,lettuce,salt,salad,water,12.99
chicken,brioche,lettuce,turkey,mustard,cheese,pepper,chips,soda,6.8
turkey,brioche,mayo,chicken,mustard,lettuce,salt,chips,soda,12.83
chicken,brioche,mustard,chicken,mayo,lettuce,pepper,salad,water,11.78
turkey,brioche,cheese,turkey,mustard,cheese,pepper,chips,water,14.58
turkey,brioche,tomato,turkey,mustard,tomato,pepper,chips,water,8.5
chicken,brioche,tomato,chicken,mustard,lettuce,salt,salad,soda,14.96
chicken,brioche,mayo,turkey,mustard,tomato,salt,salad,soda,9.31
turkey,brioche,mustard,turkey,mayo,tomato,salt,chips,soda,6.25
turkey,brioche,cheese,beef,mustard,cheese,salt,salad,soda,6.64
chicken,brioche,mustard,beef,mayo,tomato,pepper,chips,soda,9.8
chicken,brioche,cheese,turkey,mayo,lettuce,salt,chips,soda,7.69
chicken,brioche,tomato,beef,mustard,cheese,salt,salad,water,5.78
turkey,brioche,lettuce,chicken,mayo,lettuce,salt,salad,water,12.67
turkey,brioche,lettuce,beef,mustard,tomato,pepper,salad,water,14.03
turkey,brioche,mayo,beef,mayo,cheese,pepper,salad,water,9.4
chicken,brioche,cheese,chicken,mayo,lettuce,salt,salad,water,14.05
turkey,brioche,cheese,chicken,mustard,cheese,salt,chips,soda,6.26
turkey,brioche,mayo,turkey,mustard,lettuce,pepper,chips,water,9.84
chicken,brioche,tomato,chicken,mustard,cheese,salt,salad,soda,9.13
chicken,brioche,lettuce,turkey,mustard,lettuce,salt,salad,soda,12.21
turkey,brioche,tomato,beef,mayo,lettuce,pepper,salad,soda,7.62
turkey,brioche,mustard,turkey,mustard,lettuce,pepper,salad,soda,6.72
chicken,brioche,mustard,chicken,mayo,cheese,pepper,chips,soda,8.9
chicken,brioche,mayo,chicken,mayo,lettuce,salt,chips,water,8.71
turkey,brioche,lettuce,chicken,mustard,lettuce,salt,chips,soda,14.81
chicken,brioche,cheese,turkey,mustard,lettuce,pepper,salad,water,9.28
turkey,brioche,lettuce,turkey,mayo,tomato,pepper,chips,water,13.69
chicken,brioche,mustard,beef,mayo,tomato,pepper,salad,soda,5.52
turkey,brioche,mayo,beef,mayo,tomato,pepper,chips,water,8.51
turkey,brioche,mayo,chicken,mayo,tomato,pepper,chips,soda,8.5
chicken,brioche,cheese,turkey,mayo,tomato,pepper,salad,water,10.64
turkey,brioche,mustard,beef,mustard,tomato,salt,chips,soda,11.0
chicken,brioche,mayo,beef,mayo,lettuce,pepper,salad,soda,7.24
turkey,brioche,mayo,turkey,mayo,lettuce,pepper,salad,water,9.09
turkey,brioche,cheese,chicken,mayo,cheese,pepper,chips,soda,11.47
turkey,brioche,mayo,beef,mayo,lettuce,salt,chips,water,10.04
turkey,brioche,mayo,beef,mayo,lettuce,pepper,chips,soda,6.89
turkey,brioche,mustard,chicken,mustard,cheese,pepper,salad,soda,5.87
chicken,brioche,mustard,chicken,mustard,lettuce,pepper,salad,water,6.29
turkey,brioche,lettuce,beef,mayo,cheese,salt,chips,soda,7.84
turkey,brioche,lettuce,turkey,mustard,lettuce,pepper,chips,water,6.57
turkey,brioche,cheese,chicken,mayo,cheese,salt,salad,soda,12.94
turkey,brioche,mustard,beef,mustard,cheese,pepper,salad,soda,6.69
chicken,brioche,cheese,chicken,mustard,cheese,salt,salad,soda,10.29
chicken,brioche,mustard,beef,mustard,lettuce,salt,chips,water,11.91
chicken,brioche,cheese,chicken,mayo,cheese,salt,chips,water,10.48
chicken,brioche,cheese,turkey,mustard,cheese,salt,chips,soda,6.84
chicken,brioche,mayo,turkey,mayo,cheese,salt,chips,soda,6.02
turkey,brioche,tomato,chicken,mustard,tomato,pepper,salad,soda,12.97
turkey,brioche,mustard,beef,mustard,cheese,pepper,salad,soda,10.57
turkey,brioche,cheese,turkey,mustard,lettuce,salt,salad,soda,8.96
chicken,brioche,mayo,chicken,mayo,lettuce,salt,chips,soda,7.56
turkey,brioche,mustard,beef,mustard,cheese,salt,chips,soda,6.45
turkey,brioche,lettuce,turkey,mayo,tomato,salt,chips,soda,10.4
chicken,brioche,tomato,chicken,mayo,lettuce,pepper,salad,soda,8.76
turkey,brioche,lettuce,chicken,mayo,tomato,salt,salad,water,12.96
chicken,brioche,lettuce,beef,mustard,lettuce,salt,salad,water,5.69
turkey,brioche,lettuce,beef,mayo,lettuce,salt,salad,soda,14.0
chicken,brioche,mayo,turkey,mayo,cheese,salt,salad,soda,11.35
chicken,brioche,mustard,turkey,mustard,lettuce,salt,salad,soda,5.55
chicken,brioche,cheese,chicken,mayo,tomato,salt,chips,soda,6.28
chicken,brioche,mayo,turkey,mustard,tomato,salt,salad,soda,6.55
chicken,brioche,lettuce,chicken,mustard,lettuce,pepper,chips,soda,7.06
chicken,brioche,lettuce,beef,mayo,tomato,salt,salad,soda,7.53
chicken,brioche,mustard,turkey,mayo,cheese,pepper,chips,soda,14.43
turkey,brioche,tomato,beef,mustard,lettuce,salt,chips,soda,7.18
chicken,brioche,mustard,beef,mustard,lettuce,pepper,chips,water,7.17
chicken,brioche,tomato,turkey,mustard,tomato,pepper,salad,soda,13.86
chicken,brioche,lettuce,chicken,mustard,tomato,salt,salad,water,8.0
turkey,brioche,mayo,beef,mayo,lettuce,pepper,chips,soda,11.35
chicken,brioche,tomato,chicken,mayo,tomato,salt,salad,soda,5.43
chicken,brioche,mayo,turkey,mayo,lettuce,pepper,salad,water,8.38
chicken,brioche,cheese,turkey,mustard,lettuce,pepper,chips,soda,10.27
turkey,brioche,mayo,beef,mayo,lettuce,salt,salad,soda,8.16
turkey,brioche,tomato,chicken,mustard,cheese,salt,salad,soda,9.48
chicken,brioche,cheese,turkey,mustard,tomato,pepper,salad,water,14.58
turkey,brioche,lettuce,turkey,mustard,lettuce,salt,chips,soda,11.72
chicken,brioche,mayo,beef,mayo,lettuce,pepper,salad,soda,12.88
turkey,brioche,cheese,beef,mustard,tomato,salt,chips,soda,6.08
turkey,brioche,mustard,chicken,mayo,lettuce,salt,chips,soda,9.97
turkey,brioche,tomato,turkey,mustard,tomato,salt,chips,soda,13.95
turkey,brioche,mayo,turkey,mayo,tomato,salt,salad,water,7.46
turkey,brioche,mustard,beef,mayo,lettuce,salt,chips,soda,11.06
turkey,brioche,tomato,chicken,mayo,cheese,salt,chips,soda,13.07
chicken,brioche,lettuce,beef,mustard,tomato,pepper,chips,soda,6.43
turkey,brioche,mustard,chicken,mustard,cheese,salt,chips,water,8.38
chicken,brioche,cheese,turkey,mayo,lettuce,salt,salad,soda,5.11
chicken,brioche,lettuce,beef,mustard,tomato,pepper,chips,soda,14.0
chicken,brioche,lettuce,turkey,mustard,tomato,pepper,salad,soda,10.36
turkey,brioche,tomato,turkey,mustard,lettuce,salt,chips,water,13.82
chicken,brioche,cheese,beef,mayo,tomato,salt,chips,soda,9.3
turkey,brioche,cheese,beef,mayo,cheese,pepper,salad,water,8.49
chicken,brioche,lettuce,chicken,mustard,lettuce,salt,chips,water,7.21
turkey,brioche,mustard,turkey,mustard,lettuce,pepper,salad,soda,13.35
chicken,brioche,tomato,turkey,mustard,cheese,salt,salad,water,11.83
chicken,brioche,mustard,beef,mayo,tomato,pepper,chips,soda,5.21
chicken,brioche,tomato,beef,mustard,lettuce,pepper,chips,soda,7.03
turkey,brioche,cheese,chicken,mustard,tomato,pepper,salad,water,11.89
chicken,brioche,mayo,beef,mustard,lettuce,pepper,salad,soda,7.27
turkey,brioche,tomato,beef,mayo,tomato,salt,salad,water,7.19
turkey,brioche,tomato,chicken,mustard,cheese,pepper,chips,soda,9.77
turkey,brioche,cheese,turkey,mustard,cheese,salt,chips,water,12.57
chicken,brioche,tomato,chicken,mustard,lettuce,salt,chips,soda,13.95
chicken,brioche,cheese,beef,mayo,tomato,salt,salad,water,5.56
turkey,brioche,cheese,chicken,mayo,cheese,pepper,salad,soda,5.29
chicken,brioche,mustard,chicken,mayo,cheese,salt,chips,water,9.75
turkey,brioche,mayo,beef,mustard,tomato,pepper,chips,water,13.76
chicken,brioche,lettuce,chicken,mustard,tomato,pepper,chips,water,10.47
turkey,brioche,mayo,beef,mustard,tomato,pepper,salad,water,12.7
chicken,brioche,cheese,chicken,mayo,lettuce,salt,salad,water,8.38
turkey,brioche,mustard,beef,mustard,cheese,salt,chips,soda,11.25
turkey,brioche,mayo,beef,mustard,lettuce,pepper,chips,water,13.21
chicken,brioche,tomato,turkey,mayo,tomato,salt,chips,water,10.96
turkey,brioche,mayo,turkey,mayo,cheese,salt,chips,soda,13.1
turkey,brioche,lettuce,beef,mayo,lettuce,salt,chips,soda,14.57
turkey,brioche,lettuce,beef,mayo,tomato,pepper,salad,soda,7.68
chicken,brioche,mayo,turkey,mayo,lettuce,pepper,chips,soda,8.83
turkey,brioche,lettuce,chicken,mustard,cheese,pepper,chips,water,12.88
turkey,brioche,mayo,chicken,mustard,lettuce,pepper,salad,soda,10.98
chicken,brioche,cheese,beef,mayo,lettuce,salt,salad,soda,9.3
turkey,brioche,cheese,beef,mustard,lettuce,pepper,salad,water,9.9
turkey,brioche,mustard,turkey,mayo,cheese,pepper,chips,water,13.75
turkey,brioche,tomato,chicken,mayo,tomato,pepper,salad,soda,10.18
turkey,brioche,mayo,beef,mayo,cheese,pepper,chips,water,11.17
turkey,brioche,mustard,turkey,mustard,tomato,salt,chips,soda,8.0
chicken,brioche,lettuce,chicken,mayo,cheese,salt,salad,soda,8.34
chicken,brioche,mayo,chicken,mayo,tomato,pepper,salad,soda,6.13
turkey,brioche,mayo,turkey,mustard,tomato,pepper,chips,soda,5.84
turkey,brioche,cheese,beef,mayo,tomato,pepper,salad,soda,9.44
turkey,brioche,tomato,turkey,mayo,tomato,pepper,chips,soda,7.0
turkey,brioche,lettuce,chicken,mayo,lettuce,pepper,chips,soda,12.03
chicken,brioche,mayo,beef,mayo,lettuce,pepper,salad,soda,12.37
chicken,brioche,mustard,turkey,mustard,lettuce,pepper,chips,water,10.86
turkey,brioche,mayo,chicken,mayo,tomato,salt,salad,water,13.39
turkey,brioche,mayo,chicken,mustard,cheese,pepper,chips,water,9.85
turkey,brioche,lettuce,turkey,mustard,lettuce,salt,salad,water,10.51
chicken,brioche,lettuce,beef,mustard,tomato,pepper,salad,soda,13.08
turkey,brioche,tomato,beef,mustard,lettuce,pepper,salad,soda,5.31
turkey,brioche,mayo,chicken,mustard,tomato,salt,salad,water,12.06
chicken,brioche,tomato,chicken,mayo,tomato,salt,salad,soda,13.46
chicken,brioche,tomato,beef,mustard,cheese,pepper,chips,soda,14.71
turkey,brioche,cheese,beef,mayo,tomato,pepper,salad,soda,9.93
turkey,brioche,mustard,beef,mustard,tomato,pepper,salad,soda,11.4
turkey,brioche,lettuce,turkey,mayo,cheese,pepper,salad,water,6.1
turkey,brioche,cheese,turkey,mustard,cheese,salt,salad,water,6.15
chicken,brioche,cheese,chicken,mustard,cheese,pepper,salad,water,8.66
turkey,brioche,mustard,turkey,mayo,cheese,pepper,salad,soda,8.19
turkey,brioche,cheese,turkey,mustard,lettuce,salt,salad,water,10.5
chicken,brioche,lettuce,beef,mustard,tomato,salt,salad,soda,9.0
turkey,brioche,mayo,beef,mustard,cheese,salt,salad,soda,12.36
turkey,brioche,tomato,beef,mayo,lettuce,pepper,chips,water,9.8
chicken,brioche,cheese,chicken,mustard,tomato,salt,salad,water,8.38
chicken,brioche,lettuce,chicken,mustard,lettuce,salt,salad,water,5.89
turkey,brioche,cheese,chicken,mayo,tomato,pepper,chips,water,9.82
turkey,brioche,mustard,chicken,mayo,lettuce,salt,chips,soda,11.37
chicken,brioche,mustard,beef,mayo,lettuce,pepper,chips,soda,9.45
chicken,brioche,mustard,chicken,mayo,lettuce,salt,chips,soda,10.24
turkey,brioche,cheese,turkey,mustard,lettuce,pepper,salad,soda,10.6
chicken,brioche,cheese,chicken,mayo,tomato,pepper,salad,water,5.83
chicken,brioche,lettuce,turkey,mayo,lettuce,pepper,salad,water,14.06
chicken,brioche,cheese,turkey,mustard,tomato,salt,salad,water,7.67
turkey,brioche,mayo,beef,mayo,cheese,salt,salad,soda,5.95
turkey,brioche,mustard,turkey,mayo,tomato,pepper,chips,water,5.03
chicken,brioche,tomato,beef,mustard,lettuce,pepper,salad,soda,7.96
chicken,brioche,mayo,beef,mustard,lettuce,pepper,chips,water,14.86
chicken,brioche,mustard,chicken,mayo,cheese,salt,chips,soda,12.47
turkey,brioche,mustard,turkey,mustard,lettuce,salt,chips,soda,13.77
chicken,brioche,tomato,turkey,mustard,lettuce,salt,chips,soda,7.41
chicken,brioche,cheese,beef,mayo,lettuce,pepper,salad,water,8.28
turkey,brioche,tomato,beef,mayo,tomato,salt,salad,soda,5.54
chicken,brioche,cheese,beef,mayo,tomato,pepper,chips,soda,8.28
turkey,brioche,lettuce,beef,mayo,cheese,salt,salad,soda,8.78
turkey,brioche,mustard,beef,mayo,cheese,salt,salad,water,12.25
turkey,brioche,tomato,turkey,mustard,tomato,salt,chips,water,7.37
chicken,brioche,mustard,beef,mayo,lettuce,salt,chips,water,5.99
chicken,brioche,mayo,turkey,mustard,tomato,pepper,salad,water,9.59
turkey,brioche,tomato,turkey,mustard,cheese,salt,chips,water,9.12
chicken,brioche,lettuce,turkey,mustard,tomato,salt,salad,water,14.89
turkey,brioche,mustard,beef,mustard,cheese,pepper,chips,water,14.58
chicken,brioche,mustard,chicken,mayo,cheese,salt,salad,soda,11.58
turkey,brioche,tomato,turkey,mustard,cheese,pepper,chips,water,14.44
chicken,brioche,mayo,beef,mayo,tomato,pepper,salad,water,12.44
turkey,brioche,mustard,turkey,mustard,cheese,pepper,salad,water,11.25
chicken,brioche,mustard,beef,mustard,lettuce,pepper,salad,soda,13.37
turkey,brioche,cheese,beef,mayo,lettuce,pepper,salad,soda,10.91
chicken,brioche,mustard,turkey,mayo,cheese,pepper,salad,soda,10.77
chicken,brioche,mustard,chicken,mustard,tomato,pepper,chips,water,7.5
chicken,brioche,lettuce,turkey,mayo,cheese,pepper,chips,soda,14.59
turkey,brioche,lettuce,turkey,mayo,cheese,pepper,salad,water,5.68
chicken,brioche,cheese,turkey,mayo,tomato,pepper,chips,soda,10.08
turkey,brioche,mustard,turkey,mayo,tomato,salt,chips,soda,6.35
chicken,brioche,tomato,turkey,mustard,tomato,salt,salad,water,9.67
turkey,brioche,tomato,beef,mayo,cheese,salt,salad,water,12.1
chicken,brioche,mustard,beef,mustard,cheese,pepper,chips,water,6.67
chicken,brioche,lettuce,beef,mayo,cheese,salt,chips,soda,8.47
turkey,brioche,lettuce,beef,mayo,cheese,pepper,chips,water,6.44
turkey,brioche,mayo,chicken,mayo,tomato,pepper,salad,soda,9.16
turkey,brioche,cheese,turkey,mustard,lettuce,pepper,salad,water,14.47
chicken,brioche,tomato,beef,mayo,tomato,pepper,chips,water,12.43
turkey,brioche,lettuce,beef,mustard,tomato,pepper,salad,water,7.26
turkey,brioche,mayo,beef,mayo,cheese,salt,chips,soda,13.15
chicken,brioche,lettuce,beef,mustard,lettuce,salt,salad,water,10.56
turkey,brioche,cheese,beef,mustard,tomato,salt,chips,water,6.59
chicken,brioche,tomato,chicken,mayo,tomato,salt,chips,water,13.91
turkey,brioche,mayo,beef,mayo,tomato,salt,salad,water,7.4
chicken,brioche,cheese,beef,mustard,tomato,salt,salad,soda,11.32
turkey,brioche,lettuce,turkey,mustard,cheese,pepper,chips,soda,5.37
turkey,brioche,tomato,chicken,mayo,tomato,salt,salad,water,10.84
chicken,brioche,mayo,turkey,mayo,cheese,pepper,chips,soda,9.1
turkey,brioche,mayo,turkey,mustard,tomato,pepper,salad,water,5.83
turkey,brioche,mayo,turkey,mustard,cheese,pepper,salad,soda,14.16
turkey,brioche,lettuce,turkey,mustard,cheese,pepper,salad,soda,11.67
turkey,brioche,lettuce,chicken,mayo,tomato,salt,chips,soda,7.7
chicken,brioche,cheese,beef,mayo,cheese,salt,salad,water,13.86
chicken,brioche,cheese,chicken,mayo,lettuce,pepper,chips,soda,9.56
chicken,brioche,tomato,chicken,mustard,lettuce,pepper,chips,soda,8.71
chicken,brioche,mayo,beef,mayo,cheese,salt,chips,soda,10.11
turkey,brioche,lettuce,chicken,mayo,lettuce,salt,chips,water,12.41
turkey,brioche,tomato,turkey,mayo,cheese,salt,salad,soda,9.57
turkey,brioche,tomato,turkey,mayo,lettuce,pepper,salad,soda,12.58
chicken,brioche,mayo,chicken,mayo,cheese,pepper,salad,soda,12.43
chicken,brioche,lettuce,chicken,mayo,lettuce,pepper,salad,soda,12.43
turkey,brioche,lettuce,chicken,mayo,lettuce,salt,salad,soda,7.69
turkey,brioche,mayo,turkey,mayo,cheese,pepper,chips,soda,13.45
turkey,brioche,tomato,chicken,mayo,lettuce,pepper,chips,soda,10.2
turkey,brioche,mustard,turkey,mayo,lettuce,salt,chips,soda,13.0
chicken,brioche,mustard,beef,mustard,cheese,salt,salad,water,8.73
