id,bun_type,patty_type,toppings
320,wheat,cheese,onion
321,wheat,cheese,tomato
322,wheat,cheese,tomato
323,wheat,beef,tomato
324,white,cheese,onion
325,white,beef,tomato
326,wheat,beef,lettuce
327,wheat,cheese,lettuce
328,white,cheese,onion
329,white,beef,lettuce
330,white,beef,lettuce
331,white,cheese,lettuce
332,white,beef,onion
333,wheat,beef,tomato
334,white,cheese,onion
335,wheat,beef,tomato
336,white,beef,tomato
337,wheat,beef,lettuce
338,white,cheese,tomato
339,wheat,beef,onion
340,white,cheese,lettuce
341,white,beef,onion
342,wheat,cheese,tomato
343,white,cheese,tomato
344,wheat,beef,tomato
345,wheat,beef,lettuce
346,white,cheese,tomato
347,white,cheese,tomato
348,wheat,beef,lettuce
349,white,cheese,lettuce
350,wheat,beef,tomato
351,white,cheese,lettuce
352,wheat,beef,onion
353,white,beef,onion
354,white,cheese,tomato
355,white,cheese,tomato
356,white,beef,lettuce
357,white,beef,onion
358,white,cheese,lettuce
359,white,cheese,lettuce
360,wheat,beef,tomato
361,white,cheese,onion
362,white,beef,onion
363,white,cheese,lettuce
364,white,cheese,tomato
365,wheat,beef,lettuce
366,white,beef,onion
367,wheat,beef,onion
368,wheat,beef,onion
369,white,cheese,tomato
370,white,cheese,lettuce
371,wheat,cheese,tomato
372,wheat,beef,onion
373,wheat,beef,onion
374,white,cheese,onion
375,white,cheese,onion
376,wheat,beef,onion
377,white,beef,tomato
378,white,beef,tomato
379,white,beef,lettuce
380,white,beef,tomato
381,white,beef,lettuce
382,wheat,beef,onion
383,white,beef,lettuce
384,white,cheese,onion
385,wheat,beef,onion
386,wheat,cheese,lettuce
387,wheat,cheese,tomato
388,white,cheese,onion
389,white,cheese,tomato
390,white,cheese,onion
391,white,cheese,onion
392,white,beef,lettuce
393,white,beef,onion
394,white,beef,tomato
395,wheat,cheese,lettuce
396,wheat,cheese,lettuce
397,wheat,beef,lettuce
398,white,beef,lettuce
399,wheat,beef,lettuce
400,wheat,beef,onion
401,white,cheese,lettuce
402,wheat,cheese,lettuce
403,wheat,beef,onion
404,wheat,beef,onion
405,white,cheese,tomato
406,white,cheese,tomato
407,wheat,cheese,tomato
408,white,cheese,onion
409,white,beef,onion
410,wheat,cheese,tomato
411,wheat,beef,tomato
412,white,cheese,tomato
413,white,beef,onion
414,white,cheese,onion
415,wheat,cheese,lettuce
416,white,beef,tomato
417,wheat,beef,tomato
418,wheat,beef,tomato
419,white,cheese,onion
420,wheat,beef,onion
421,white,cheese,lettuce
422,white,cheese,onion
423,wheat,beef,tomato
424,wheat,cheese,onion
425,wheat,beef,tomato
426,wheat,beef,onion
427,wheat,beef,tomato
428,white,beef,onion
429,white,beef,tomato
430,white,beef,tomato
431,white,beef,lettuce
432,white,beef,lettuce
433,white,cheese,lettuce
434,wheat,beef,lettuce
435,wheat,cheese,onion
436,wheat,beef,lettuce
437,wheat,beef,tomato
438,white,beef,onion
439,white,beef,lettuce
440,wheat,beef,tomato
441,white,beef,tomato
442,white,beef,lettuce
443,wheat,beef,lettuce
444,wheat,beef,onion
445,white,beef,onion
446,white,cheese,tomato
447,wheat,cheese,onion
448,white,beef,tomato
449,wheat,beef,tomato
450,white,beef,lettuce
451,wheat,beef,lettuce
452,white,beef,tomato
453,wheat,beef,tomato
454,white,cheese,lettuce
455,wheat,beef,lettuce
456,wheat,cheese,lettuce
457,white,cheese,onion
458,wheat,cheese,lettuce
459,wheat,beef,tomato
460,white,beef,lettuce
461,wheat,beef,tomato
462,white,beef,tomato
463,wheat,cheese,tomato
464,wheat,beef,tomato
465,wheat,beef,onion
466,wheat,cheese,lettuce
467,wheat,beef,onion
468,white,cheese,tomato
469,wheat,beef,onion
470,white,cheese,onion
471,white,beef,lettuce
472,white,cheese,onion
473,wheat,beef,onion
474,wheat,beef,lettuce
475,wheat,beef,tomato
476,white,beef,lettuce
477,wheat,beef,onion
478,white,beef,tomato
479,white,cheese,lettuce
480,wheat,beef,onion
481,white,beef,onion
482,white,beef,onion
483,white,beef,lettuce
484,white,beef,tomato
485,wheat,cheese,lettuce
486,wheat,cheese,lettuce
487,wheat,cheese,tomato
488,white,beef,onion
489,wheat,beef,onion
490,white,cheese,lettuce
491,wheat,beef,onion
492,white,beef,lettuce
493,white,beef,lettuce
494,white,beef,tomato
495,white,beef,onion
496,wheat,beef,tomato
497,white,cheese,lettuce
498,white,beef,tomato
499,wheat,cheese,tomato
500,wheat,beef,lettuce
501,white,cheese,onion
502,white,cheese,lettuce
503,white,beef,lettuce
504,white,cheese,onion
505,white,cheese,lettuce
506,wheat,beef,lettuce
507,wheat,beef,lettuce
508,wheat,beef,onion
509,white,beef,onion
510,white,cheese,lettuce
511,white,beef,onion
512,wheat,beef,tomato
513,white,beef,tomato
514,wheat,beef,lettuce
515,white,beef,onion
516,white,beef,onion
517,white,beef,onion
518,wheat,beef,lettuce
519,white,beef,tomato
520,wheat,cheese,tomato
521,wheat,cheese,tomato
522,wheat,beef,tomato
523,wheat,cheese,onion
524,white,cheese,lettuce
525,wheat,beef,lettuce
526,wheat,cheese,lettuce
527,wheat,beef,onion
528,white,beef,onion
529,white,cheese,tomato
530,wheat,beef,tomato
531,wheat,beef,tomato
532,wheat,beef,lettuce
533,white,beef,onion
534,white,cheese,tomato
535,white,beef,lettuce
536,wheat,beef,lettuce
537,wheat,cheese,lettuce
538,white,cheese,onion
539,white,cheese,tomato
540,white,beef,tomato
541,white,beef,onion
542,white,cheese,tomato
543,white,cheese,tomato
544,white,beef,lettuce
545,white,cheese,onion
546,white,cheese,tomato
547,white,beef,tomato
548,wheat,beef,lettuce
549,wheat,cheese,lettuce
550,wheat,cheese,tomato
551,wheat,cheese,lettuce
552,wheat,cheese,onion
553,wheat,cheese,onion
554,wheat,cheese,tomato
555,white,cheese,lettuce
556,white,beef,tomato
557,white,cheese,lettuce
558,wheat,cheese,lettuce
559,white,beef,lettuce
560,wheat,cheese,tomato
561,white,beef,tomato
562,white,beef,onion
563,white,cheese,tomato
564,white,beef,lettuce
565,wheat,beef,onion
566,wheat,beef,onion
567,white,beef,onion
568,wheat,beef,tomato
569,white,beef,onion
570,wheat,cheese,lettuce
571,wheat,cheese,onion
572,wheat,cheese,onion
573,white,cheese,lettuce
574,white,cheese,onion
575,wheat,cheese,tomato
576,wheat,cheese,onion
577,wheat,cheese,lettuce
578,white,cheese,lettuce
579,white,beef,tomato
580,white,beef,tomato
581,white,beef,tomato
582,white,beef,lettuce
583,wheat,beef,lettuce
584,white,cheese,tomato
585,white,cheese,lettuce
586,white,cheese,tomato
587,wheat,beef,onion
588,white,cheese,tomato
589,wheat,cheese,lettuce
590,white,cheese,onion
591,white,beef,onion
592,white,cheese,onion
593,wheat,beef,tomato
594,white,beef,onion
595,wheat,cheese,lettuce
596,white,cheese,onion
597,wheat,beef,lettuce
598,wheat,beef,tomato
599,white,cheese,onion
600,wheat,cheese,tomato
601,white,beef,tomato
602,white,beef,lettuce
603,white,beef,onion
604,wheat,beef,lettuce
605,white,cheese,onion
606,wheat,beef,lettuce
607,white,beef,onion
608,white,beef,tomato
609,white,cheese,lettuce
610,white,cheese,tomato
611,wheat,cheese,lettuce
612,wheat,beef,tomato
613,white,beef,onion
614,wheat,beef,lettuce
615,white,cheese,tomato
616,wheat,beef,onion
617,wheat,beef,onion
618,white,cheese,lettuce
619,white,beef,lettuce
620,white,beef,lettuce
621,white,cheese,lettuce
622,wheat,beef,tomato
623,white,cheese,lettuce
624,wheat,beef,onion
625,white,cheese,tomato
626,wheat,beef,lettuce
627,wheat,beef,lettuce
628,wheat,cheese,tomato
629,wheat,cheese,tomato
630,white,cheese,tomato
631,white,beef,tomato
632,wheat,beef,tomato
633,white,beef,onion
634,white,cheese,lettuce
635,wheat,beef,lettuce
636,white,cheese,tomato
637,white,cheese,lettuce
638,wheat,beef,tomato
639,wheat,cheese,onion
640,white,cheese,lettuce
641,wheat,cheese,tomato
642,white,cheese,lettuce
643,wheat,beef,tomato
644,white,beef,tomato
645,wheat,beef,tomato
646,white,beef,lettuce
647,white,cheese,tomato
648,white,beef,onion
649,white,cheese,tomato
650,white,cheese,tomato
651,wheat,cheese,onion
652,wheat,cheese,onion
653,white,cheese,tomato
654,white,beef,lettuce
655,wheat,cheese,lettuce
656,wheat,cheese,tomato
657,white,beef,tomato
658,wheat,cheese,tomato
659,white,beef,lettuce
660,white,cheese,lettuce
661,wheat,cheese,onion
662,white,cheese,onion
663,wheat,beef,onion
664,white,cheese,lettuce
665,white,cheese,onion
666,white,beef,tomato
667,wheat,cheese,tomato
668,wheat,beef,lettuce
669,white,beef,onion
670,white,beef,tomato
671,wheat,cheese,lettuce
672,white,cheese,lettuce
673,wheat,beef,lettuce
674,wheat,beef,lettuce
675,white,beef,tomato
676,wheat,cheese,tomato
677,wheat,beef,lettuce
678,white,cheese,tomato
679,white,cheese,onion
680,wheat,cheese,lettuce
681,wheat,beef,lettuce
682,white,beef,onion
683,white,cheese,lettuce
684,white,beef,tomato
685,wheat,cheese,tomato
686,wheat,cheese,tomato
687,white,beef,lettuce
688,white,beef,tomato
689,wheat,beef,tomato
690,wheat,beef,lettuce
691,white,cheese,onion
692,wheat,cheese,lettuce
693,wheat,cheese,onion
694,white,beef,tomato
695,white,beef,onion
696,white,cheese,tomato
697,white,cheese,tomato
698,wheat,cheese,lettuce
699,wheat,beef,tomato
700,wheat,cheese,tomato
701,wheat,cheese,tomato
702,wheat,cheese,onion
703,white,beef,tomato
704,wheat,beef,onion
705,wheat,cheese,lettuce
706,wheat,cheese,lettuce
707,white,cheese,onion
708,white,cheese,onion
709,white,beef,lettuce
710,white,beef,lettuce
711,wheat,cheese,onion
712,white,beef,lettuce
713,wheat,beef,tomato
714,white,beef,tomato
715,wheat,beef,onion
716,white,beef,lettuce
717,white,beef,tomato
718,white,beef,lettuce
719,white,cheese,tomato
720,wheat,cheese,tomato
721,wheat,cheese,lettuce
722,white,cheese,lettuce
723,white,beef,lettuce
724,wheat,cheese,onion
725,wheat,beef,onion
726,white,cheese,onion
727,wheat,cheese,onion
728,wheat,beef,lettuce
729,wheat,cheese,onion
730,white,beef,onion
731,wheat,beef,tomato
732,white,beef,lettuce
733,wheat,beef,lettuce
734,wheat,beef,tomato
735,wheat,beef,onion
736,white,beef,lettuce
737,white,beef,onion
738,wheat,beef,onion
739,white,beef,tomato
740,wheat,beef,tomato
741,white,cheese,lettuce
742,white,cheese,tomato
743,wheat,cheese,onion
744,white,cheese,onion
745,wheat,cheese,onion
746,white,cheese,tomato
747,wheat,beef,onion
748,white,beef,lettuce
749,white,cheese,lettuce
750,white,cheese,onion
751,white,cheese,tomato
752,white,cheese,onion
753,white,cheese,onion
754,wheat,beef,tomato
755,wheat,cheese,onion
756,white,beef,onion
757,wheat,cheese,tomato
758,white,beef,onion
759,white,cheese,tomato
760,white,cheese,tomato
761,white,beef,tomato
762,wheat,cheese,lettuce
763,white,cheese,onion
764,white,cheese,onion
765,wheat,beef,lettuce
766,white,cheese,lettuce
767,white,beef,tomato
768,wheat,beef,lettuce
769,wheat,cheese,lettuce
770,white,beef,lettuce
771,wheat,beef,tomato
772,wheat,beef,tomato
773,wheat,beef,onion
774,wheat,cheese,tomato
775,white,beef,lettuce
776,wheat,cheese,onion
777,wheat,cheese,lettuce
778,wheat,beef,tomato
779,wheat,cheese,tomato
780,white,beef,lettuce
781,white,beef,tomato
782,wheat,beef,onion
783,wheat,cheese,lettuce
784,white,cheese,lettuce
785,white,beef,tomato
786,wheat,cheese,tomato
787,white,beef,lettuce
788,wheat,beef,onion
789,wheat,cheese,tomato
790,white,beef,onion
791,white,beef,lettuce
792,wheat,beef,onion
793,white,beef,lettuce
794,white,beef,onion
795,white,beef,onion
796,white,cheese,tomato
797,white,beef,lettuce
798,wheat,cheese,tomato
799,white,beef,onion
800,wheat,beef,tomato
801,wheat,cheese,lettuce
802,wheat,beef,tomato
803,white,cheese,onion
804,white,beef,lettuce
805,white,cheese,lettuce
806,wheat,cheese,onion
807,white,beef,tomato
808,white,cheese,onion
809,wheat,beef,tomato
810,wheat,beef,tomato
811,wheat,beef,onion
812,wheat,beef,lettuce
813,white,beef,onion
814,white,cheese,tomato
815,white,beef,onion
816,white,cheese,tomato
817,white,cheese,lettuce
818,wheat,beef,tomato
819,white,beef,lettuce
820,wheat,cheese,lettuce
821,wheat,beef,lettuce
822,wheat,beef,onion
823,wheat,cheese,lettuce
824,wheat,beef,onion
825,white,cheese,lettuce
826,white,cheese,lettuce
827,wheat,cheese,tomato
828,white,cheese,lettuce
829,wheat,beef,onion
830,wheat,beef,onion
831,white,beef,onion
832,wheat,cheese,lettuce
833,white,cheese,lettuce
834,wheat,beef,lettuce
835,wheat,beef,lettuce
836,white,beef,lettuce
837,white,cheese,onion
838,wheat,cheese,lettuce
839,white,beef,tomato
840,white,cheese,lettuce
841,white,cheese,tomato
842,white,beef,tomato
843,white,beef,tomato
844,white,beef,onion
845,wheat,cheese,onion
846,white,beef,onion
847,wheat,beef,tomato
848,wheat,beef,tomato
849,white,beef,lettuce
850,wheat,beef,tomato
851,white,cheese,tomato
852,wheat,cheese,tomato
853,white,cheese,tomato
854,white,beef,lettuce
855,white,cheese,tomato
856,white,cheese,onion
857,white,cheese,lettuce
858,white,cheese,lettuce
859,white,cheese,tomato
860,wheat,cheese,onion
861,white,cheese,lettuce
862,white,beef,lettuce
863,white,beef,onion
864,white,cheese,tomato
865,wheat,beef,lettuce
866,white,beef,lettuce
867,wheat,cheese,tomato
868,wheat,cheese,tomato
869,white,beef,lettuce
870,white,beef,onion
871,white,beef,lettuce
872,wheat,beef,lettuce
873,wheat,beef,onion
874,white,cheese,onion
875,white,cheese,onion
876,wheat,beef,lettuce
877,wheat,cheese,tomato
878,white,cheese,tomato
879,wheat,beef,onion
880,white,cheese,tomato
881,wheat,beef,onion
882,white,beef,lettuce
883,wheat,cheese,onion
884,wheat,cheese,tomato
885,wheat,beef,tomato
886,wheat,cheese,lettuce
887,wheat,cheese,lettuce
888,wheat,cheese,tomato
889,white,beef,tomato
890,white,cheese,onion
891,white,beef,lettuce
892,wheat,cheese,onion
893,white,cheese,tomato
894,white,cheese,tomato
895,wheat,cheese,lettuce
896,wheat,cheese,tomato
897,white,cheese,onion
898,white,beef,tomato
899,wheat,cheese,tomato
900,wheat,cheese,onion
901,wheat,beef,lettuce
902,white,cheese,tomato
903,wheat,beef,lettuce
904,wheat,cheese,onion
905,wheat,cheese,tomato
906,wheat,beef,tomato
907,white,cheese,lettuce
908,white,beef,onion
909,wheat,beef,lettuce
910,white,cheese,lettuce
911,white,beef,tomato
912,white,beef,lettuce
913,white,beef,onion
914,wheat,cheese,lettuce
915,white,cheese,lettuce
916,white,beef,tomato
917,white,beef,lettuce
918,wheat,beef,tomato
919,white,beef,tomato
920,wheat,beef,onion
921,wheat,beef,lettuce
922,wheat,beef,tomato
923,white,beef,lettuce
924,wheat,cheese,onion
925,wheat,cheese,lettuce
926,white,cheese,tomato
927,wheat,beef,tomato
928,wheat,cheese,tomato
929,wheat,beef,onion
930,wheat,cheese,onion
931,wheat,cheese,lettuce
932,wheat,beef,lettuce
933,white,beef,tomato
934,white,cheese,onion
935,white,beef,tomato
936,white,beef,onion
937,white,beef,onion
938,wheat,cheese,tomato
939,wheat,cheese,lettuce
940,wheat,beef,lettuce
941,white,beef,onion
942,white,cheese,tomato
943,white,beef,tomato
944,white,cheese,onion
945,white,cheese,tomato
946,white,cheese,tomato
947,wheat,beef,onion
948,white,beef,tomato
949,wheat,beef,onion
950,white,beef,lettuce
951,white,cheese,lettuce
952,wheat,beef,onion
953,wheat,beef,tomato
954,wheat,beef,tomato
955,wheat,beef,onion
956,white,beef,lettuce
957,wheat,beef,onion
958,wheat,cheese,onion
959,white,cheese,tomato
960,wheat,cheese,tomato
961,white,cheese,tomato
962,white,cheese,lettuce
963,wheat,cheese,onion
964,white,beef,lettuce
965,white,cheese,onion
966,white,cheese,lettuce
967,white,beef,lettuce
968,wheat,beef,tomato
969,wheat,cheese,onion
970,wheat,beef,onion
971,white,beef,tomato
972,wheat,cheese,tomato
973,white,beef,lettuce
974,white,beef,onion
975,white,cheese,onion
976,white,cheese,lettuce
977,wheat,cheese,lettuce
978,white,cheese,lettuce
979,wheat,cheese,tomato
980,wheat,cheese,lettuce
981,white,cheese,tomato
982,white,beef,lettuce
983,wheat,beef,lettuce
984,white,beef,tomato
985,white,cheese,lettuce
986,white,cheese,tomato
987,white,cheese,lettuce
988,wheat,beef,tomato
989,white,cheese,onion
990,white,beef,onion
991,white,beef,lettuce
992,white,cheese,lettuce
993,white,beef,lettuce
994,white,cheese,onion
995,wheat,beef,lettuce
996,wheat,cheese,lettuce
997,white,cheese,onion
998,white,cheese,lettuce
999,wheat,beef,onion
1000,wheat,cheese,tomato
