order_id,sandwich_type,bread_type,cheese_type,toppings,sauce,side_order,drink,order_date
113,Veggie,Rye,Swiss,Pickles,Mustard,Fruit,Water,3/12/2022
114,Veggie,Wheat,Provolone,Tomato,Mustard,Fruit,Soda,1/9/2022
115,Turkey,Rye,Swiss,Tomato,Ranch,Salad,Water,9/21/2022
116,Veggie,White,Cheddar,Onion,Ranch,Chips,Water,3/3/2022
117,Ham,White,Swiss,Pickles,Ranch,Fruit,Soda,9/27/2022
118,Turkey,Rye,Provolone,Tomato,Mustard,Salad,Water,5/18/2022
119,Turkey,Rye,Swiss,Lettuce,Mayo,Chips,Soda,10/24/2022
120,Veggie,White,Swiss,Onion,Mayo,Chips,Water,6/21/2022
121,Turkey,Wheat,Provolone,Pickles,Mustard,Chips,Soda,3/30/2022
122,Turkey,Rye,Cheddar,Onion,Mustard,Chips,Water,11/16/2022
123,Veggie,White,Provolone,Tomato,Mayo,Fruit,Water,2/7/2022
124,Veggie,Rye,Swiss,Pickles,Mayo,Chips,Water,4/9/2022
125,Ham,White,Swiss,Tomato,Mayo,Chips,Iced Tea,9/17/2022
126,Veggie,White,Cheddar,Pickles,Ranch,Fruit,Iced Tea,8/18/2022
127,Turkey,Rye,Provolone,Lettuce,Ranch,Chips,Iced Tea,4/14/2022
128,Turkey,Rye,Swiss,Pickles,Mayo,Chips,Soda,9/18/2022
129,Ham,Rye,Provolone,Onion,Mustard,Chips,Iced Tea,12/10/2022
130,Turkey,Rye,Provolone,Onion,Mustard,Salad,Iced Tea,3/23/2022
131,Ham,White,Swiss,Lettuce,Mayo,Salad,Water,1/5/2022
132,Ham,Wheat,Swiss,Tomato,Mayo,Salad,Iced Tea,11/10/2022
133,Veggie,Wheat,Swiss,Lettuce,Ranch,Salad,Iced Tea,3/5/2022
134,Turkey,Wheat,Provolone,Tomato,Mustard,Chips,Iced Tea,4/22/2022
135,Veggie,Wheat,Provolone,Onion,Mustard,Salad,Iced Tea,12/21/2022
136,Ham,Rye,Provolone,Lettuce,Mustard,Salad,Water,11/29/2022
137,Veggie,Wheat,Provolone,Onion,Mayo,Fruit,Water,11/13/2022
138,Ham,Wheat,Swiss,Tomato,Ranch,Chips,Iced Tea,9/5/2022
139,Veggie,White,Cheddar,Tomato,Ranch,Chips,Soda,6/27/2022
140,Veggie,White,Provolone,Pickles,Mustard,Salad,Soda,6/2/2022
141,Veggie,White,Provolone,Lettuce,Ranch,Fruit,Iced Tea,3/24/2022
142,Veggie,White,Swiss,Pickles,Mustard,Fruit,Iced Tea,11/29/2022
143,Ham,Rye,Swiss,Pickles,Mayo,Salad,Water,4/14/2022
144,Ham,White,Cheddar,Lettuce,Ranch,Chips,Iced Tea,10/4/2022
145,Veggie,White,Provolone,Tomato,Mayo,Chips,Iced Tea,1/4/2022
146,Veggie,Wheat,Cheddar,Onion,Mustard,Salad,Soda,10/2/2022
147,Veggie,White,Cheddar,Tomato,Mayo,Fruit,Soda,2/10/2022
148,Turkey,Wheat,Swiss,Pickles,Mustard,Fruit,Iced Tea,1/15/2022
149,Veggie,Wheat,Cheddar,Onion,Ranch,Chips,Iced Tea,1/8/2022
150,Ham,White,Swiss,Pickles,Mustard,Fruit,Soda,7/29/2022
151,Turkey,Rye,Provolone,Pickles,Mayo,Chips,Soda,10/8/2022
152,Turkey,Wheat,Swiss,Pickles,Ranch,Chips,Soda,6/5/2022
153,Veggie,Rye,Provolone,Lettuce,Mustard,Chips,Iced Tea,7/28/2022
154,Turkey,Rye,Provolone,Pickles,Ranch,Fruit,Iced Tea,10/4/2022
155,Turkey,Rye,Provolone,Tomato,Mayo,Fruit,Soda,8/25/2022
156,Ham,Rye,Cheddar,Lettuce,Mayo,Salad,Iced Tea,3/4/2022
157,Ham,White,Swiss,Tomato,Mayo,Chips,Iced Tea,11/8/2022
158,Ham,Wheat,Swiss,Lettuce,Ranch,Chips,Soda,9/12/2022
159,Turkey,Rye,Provolone,Pickles,Ranch,Chips,Water,9/2/2022
160,Veggie,Wheat,Provolone,Pickles,Mustard,Salad,Iced Tea,8/31/2022
161,Ham,Wheat,Cheddar,Tomato,Ranch,Chips,Water,2/19/2022
162,Turkey,Rye,Swiss,Pickles,Ranch,Fruit,Water,12/28/2022
163,Veggie,Rye,Swiss,Tomato,Ranch,Fruit,Soda,4/11/2022
164,Turkey,Wheat,Cheddar,Onion,Ranch,Salad,Water,1/17/2022
165,Ham,Rye,Swiss,Onion,Mustard,Fruit,Water,7/18/2022
166,Ham,Wheat,Provolone,Tomato,Mayo,Fruit,Iced Tea,5/17/2022
167,Veggie,Wheat,Swiss,Lettuce,Mayo,Fruit,Iced Tea,6/2/2022
168,Turkey,Rye,Swiss,Pickles,Mustard,Chips,Water,4/21/2022
169,Veggie,Wheat,Provolone,Tomato,Ranch,Salad,Water,4/24/2022
170,Turkey,White,Provolone,Pickles,Mustard,Chips,Soda,6/14/2022
171,Veggie,Wheat,Cheddar,Lettuce,Ranch,Salad,Water,6/29/2022
172,Ham,Rye,Provolone,Lettuce,Mustard,Chips,Iced Tea,4/9/2022
173,Ham,Rye,Swiss,Lettuce,Mustard,Salad,Iced Tea,6/15/2022
174,Turkey,Rye,Swiss,Pickles,Mayo,Fruit,Water,5/26/2022
175,Turkey,Rye,Swiss,Onion,Mayo,Fruit,Soda,5/29/2022
176,Ham,Wheat,Provolone,Pickles,Mustard,Chips,Iced Tea,9/12/2022
177,Veggie,Wheat,Cheddar,Tomato,Mustard,Salad,Soda,7/6/2022
178,Turkey,Wheat,Swiss,Lettuce,Mustard,Chips,Soda,12/30/2022
179,Turkey,Wheat,Provolone,Lettuce,Mustard,Salad,Iced Tea,7/10/2022
180,Veggie,White,Cheddar,Tomato,Mayo,Fruit,Soda,7/3/2022
181,Turkey,Wheat,Swiss,Lettuce,Ranch,Fruit,Water,8/3/2022
182,Ham,Wheat,Cheddar,Lettuce,Mayo,Salad,Iced Tea,3/5/2022
183,Veggie,White,Provolone,Lettuce,Mustard,Fruit,Iced Tea,1/21/2022
184,Turkey,Rye,Provolone,Onion,Ranch,Fruit,Soda,3/31/2022
185,Veggie,White,Swiss,Lettuce,Mustard,Fruit,Water,10/6/2022
186,Turkey,Rye,Swiss,Lettuce,Mayo,Salad,Water,11/2/2022
187,Ham,White,Provolone,Pickles,Mustard,Fruit,Iced Tea,3/17/2022
188,Veggie,Rye,Provolone,Lettuce,Ranch,Chips,Water,3/1/2022
189,Veggie,White,Cheddar,Onion,Mayo,Fruit,Soda,2/1/2022
190,Veggie,Rye,Cheddar,Lettuce,Mayo,Chips,Iced Tea,8/28/2022
191,Ham,Wheat,Swiss,Tomato,Mayo,Fruit,Soda,9/26/2022
192,Veggie,Rye,Cheddar,Lettuce,Mayo,Salad,Soda,6/1/2022
193,Turkey,Wheat,Cheddar,Tomato,Ranch,Fruit,Iced Tea,2/11/2022
194,Ham,Rye,Cheddar,Onion,Ranch,Salad,Water,6/24/2022
195,Turkey,White,Provolone,Lettuce,Mustard,Chips,Iced Tea,1/20/2022
196,Veggie,Wheat,Provolone,Onion,Mustard,Fruit,Soda,8/9/2022
197,Turkey,Wheat,Swiss,Lettuce,Mustard,Fruit,Soda,8/18/2022
198,Ham,White,Provolone,Onion,Mayo,Salad,Water,11/26/2022
199,Turkey,Rye,Swiss,Pickles,Ranch,Chips,Soda,9/2/2022
200,Turkey,White,Swiss,Onion,Ranch,Chips,Soda,4/17/2022
201,Turkey,Wheat,Provolone,Pickles,Ranch,Salad,Soda,11/1/2022
202,Turkey,Rye,Provolone,Onion,Ranch,Salad,Soda,12/23/2022
203,Turkey,Rye,Cheddar,Tomato,Mustard,Fruit,Water,5/17/2022
204,Turkey,Wheat,Swiss,Lettuce,Mustard,Chips,Iced Tea,7/15/2022
205,Ham,White,Provolone,Lettuce,Mustard,Salad,Iced Tea,4/27/2022
206,Veggie,Rye,Cheddar,Tomato,Mustard,Chips,Water,7/8/2022
207,Turkey,Wheat,Swiss,Pickles,Mustard,Salad,Soda,2/21/2022
208,Ham,White,Cheddar,Pickles,Ranch,Salad,Iced Tea,5/20/2022
209,Ham,Rye,Provolone,Pickles,Mayo,Salad,Water,12/11/2022
210,Veggie,White,Swiss,Lettuce,Ranch,Fruit,Soda,12/3/2022
211,Turkey,White,Swiss,Onion,Mayo,Fruit,Water,3/5/2022
212,Turkey,Wheat,Provolone,Onion,Mustard,Chips,Iced Tea,10/6/2022
213,Ham,Rye,Cheddar,Tomato,Mustard,Chips,Water,4/23/2022
214,Veggie,White,Provolone,Pickles,Mayo,Salad,Water,7/27/2022
215,Ham,Rye,Cheddar,Onion,Mayo,Chips,Soda,12/24/2022
216,Turkey,Rye,Provolone,Tomato,Ranch,Fruit,Water,11/5/2022
217,Veggie,White,Provolone,Lettuce,Mayo,Salad,Iced Tea,1/10/2022
218,Ham,Wheat,Cheddar,Lettuce,Mayo,Chips,Water,1/17/2022
219,Ham,Wheat,Cheddar,Tomato,Mustard,Chips,Iced Tea,5/16/2022
220,Veggie,Wheat,Swiss,Onion,Mustard,Fruit,Water,3/10/2022
221,Turkey,White,Swiss,Onion,Mustard,Fruit,Water,4/29/2022
222,Turkey,Rye,Provolone,Tomato,Mayo,Chips,Soda,1/31/2022
223,Turkey,White,Cheddar,Tomato,Ranch,Chips,Iced Tea,8/30/2022
224,Turkey,Rye,Swiss,Lettuce,Ranch,Fruit,Soda,3/24/2022
225,Turkey,Wheat,Provolone,Onion,Mustard,Fruit,Water,5/14/2022
226,Veggie,White,Provolone,Pickles,Ranch,Salad,Soda,10/25/2022
227,Veggie,White,Cheddar,Lettuce,Ranch,Fruit,Water,6/16/2022
228,Veggie,Rye,Provolone,Pickles,Mustard,Salad,Iced Tea,4/5/2022
229,Turkey,White,Cheddar,Tomato,Ranch,Salad,Iced Tea,9/15/2022
230,Ham,Rye,Cheddar,Lettuce,Ranch,Chips,Soda,9/10/2022
231,Veggie,Wheat,Cheddar,Pickles,Mustard,Chips,Soda,8/26/2022
232,Veggie,White,Cheddar,Tomato,Mayo,Fruit,Water,6/28/2022
233,Turkey,Rye,Provolone,Tomato,Mayo,Fruit,Iced Tea,9/17/2022
234,Ham,Rye,Provolone,Pickles,Ranch,Salad,Iced Tea,11/30/2022
235,Ham,White,Cheddar,Tomato,Mustard,Chips,Water,12/3/2022
236,Veggie,Wheat,Provolone,Lettuce,Ranch,Chips,Water,3/27/2022
237,Turkey,Rye,Cheddar,Onion,Ranch,Chips,Water,5/16/2022
238,Ham,White,Provolone,Tomato,Mayo,Salad,Water,11/18/2022
239,Turkey,White,Swiss,Pickles,Mustard,Chips,Soda,7/7/2022
240,Veggie,Wheat,Provolone,Pickles,Mustard,Salad,Water,3/30/2022
241,Veggie,Wheat,Provolone,Pickles,Ranch,Salad,Iced Tea,5/9/2022
242,Turkey,White,Cheddar,Onion,Mayo,Chips,Iced Tea,7/18/2022
243,Ham,Rye,Cheddar,Pickles,Mustard,Chips,Iced Tea,10/28/2022
244,Ham,Wheat,Cheddar,Lettuce,Mustard,Salad,Water,10/7/2022
245,Turkey,Rye,Cheddar,Onion,Ranch,Chips,Iced Tea,5/26/2022
246,Turkey,Rye,Swiss,Tomato,Mustard,Salad,Soda,2/24/2022
247,Turkey,White,Swiss,Lettuce,Ranch,Salad,Water,3/31/2022
248,Turkey,Rye,Cheddar,Tomato,Mustard,Fruit,Soda,11/5/2022
249,Turkey,Wheat,Cheddar,Onion,Ranch,Salad,Iced Tea,1/3/2022
250,Turkey,Rye,Provolone,Tomato,Mustard,Chips,Soda,10/21/2022
251,Veggie,Rye,Swiss,Onion,Ranch,Fruit,Iced Tea,3/2/2022
252,Veggie,Rye,Cheddar,Onion,Mustard,Salad,Water,4/25/2022
253,Turkey,Rye,Provolone,Lettuce,Mustard,Salad,Soda,2/9/2022
254,Ham,White,Cheddar,Tomato,Ranch,Salad,Soda,9/29/2022
255,Veggie,Rye,Cheddar,Tomato,Mustard,Salad,Iced Tea,1/13/2022
256,Veggie,Rye,Provolone,Tomato,Mayo,Salad,Iced Tea,2/28/2022
257,Veggie,Rye,Cheddar,Lettuce,Mustard,Fruit,Water,4/7/2022
258,Turkey,Rye,Cheddar,Lettuce,Mayo,Chips,Iced Tea,5/22/2022
259,Turkey,White,Cheddar,Lettuce,Ranch,Chips,Soda,10/31/2022
260,Ham,White,Swiss,Onion,Ranch,Salad,Iced Tea,11/16/2022
261,Turkey,Rye,Provolone,Lettuce,Mustard,Salad,Water,6/27/2022
262,Ham,Wheat,Provolone,Pickles,Mustard,Salad,Water,11/25/2022
263,Veggie,Wheat,Cheddar,Tomato,Mayo,Chips,Water,1/20/2022
264,Veggie,Wheat,Provolone,Onion,Ranch,Fruit,Soda,11/29/2022
265,Ham,Rye,Provolone,Pickles,Mustard,Chips,Water,10/16/2022
266,Veggie,Rye,Cheddar,Tomato,Mayo,Fruit,Soda,9/21/2022
267,Turkey,Rye,Swiss,Lettuce,Mayo,Chips,Iced Tea,10/25/2022
268,Veggie,Rye,Swiss,Pickles,Mayo,Salad,Iced Tea,4/27/2022
269,Ham,Wheat,Cheddar,Pickles,Mustard,Chips,Water,7/1/2022
270,Ham,Rye,Cheddar,Pickles,Mayo,Salad,Iced Tea,1/25/2022
271,Veggie,White,Swiss,Lettuce,Mustard,Salad,Soda,5/2/2022
272,Ham,White,Swiss,Onion,Mayo,Salad,Iced Tea,6/27/2022
273,Ham,Wheat,Swiss,Onion,Ranch,Salad,Soda,6/15/2022
274,Ham,Rye,Cheddar,Onion,Ranch,Chips,Iced Tea,8/10/2022
275,Ham,White,Cheddar,Onion,Mayo,Chips,Iced Tea,11/24/2022
276,Ham,White,Cheddar,Lettuce,Mayo,Fruit,Iced Tea,10/18/2022
277,Ham,Wheat,Cheddar,Tomato,Ranch,Salad,Soda,9/8/2022
278,Turkey,Wheat,Swiss,Onion,Mayo,Fruit,Water,1/27/2022
279,Turkey,Wheat,Cheddar,Onion,Ranch,Fruit,Soda,2/9/2022
280,Veggie,Rye,Provolone,Onion,Ranch,Salad,Soda,8/30/2022
281,Veggie,Rye,Cheddar,Pickles,Mayo,Fruit,Water,9/11/2022
282,Turkey,Wheat,Provolone,Onion,Mayo,Salad,Soda,1/28/2022
283,Ham,Rye,Cheddar,Pickles,Ranch,Chips,Water,12/11/2022
284,Turkey,Wheat,Provolone,Onion,Ranch,Salad,Soda,9/1/2022
285,Ham,Wheat,Swiss,Pickles,Mustard,Chips,Iced Tea,7/12/2022
286,Turkey,Wheat,Swiss,Lettuce,Mayo,Fruit,Water,2/22/2022
287,Veggie,Rye,Swiss,Lettuce,Mayo,Fruit,Water,5/11/2022
288,Turkey,Rye,Swiss,Pickles,Ranch,Fruit,Soda,5/17/2022
289,Veggie,Wheat,Swiss,Pickles,Mustard,Salad,Soda,2/16/2022
290,Veggie,Wheat,Provolone,Pickles,Ranch,Chips,Soda,3/4/2022
291,Ham,White,Cheddar,Tomato,Ranch,Chips,Water,2/15/2022
292,Veggie,Rye,Provolone,Pickles,Ranch,Salad,Iced Tea,5/1/2022
293,Ham,Rye,Cheddar,Lettuce,Mustard,Fruit,Iced Tea,11/28/2022
294,Veggie,White,Provolone,Tomato,Mustard,Salad,Water,5/13/2022
295,Ham,Rye,Provolone,Onion,Ranch,Salad,Iced Tea,6/20/2022
296,Veggie,Rye,Provolone,Pickles,Ranch,Salad,Iced Tea,4/18/2022
297,Ham,White,Provolone,Lettuce,Mayo,Fruit,Water,10/4/2022
298,Ham,White,Cheddar,Onion,Ranch,Chips,Iced Tea,10/4/2022
299,Turkey,Rye,Cheddar,Onion,Mustard,Chips,Soda,6/8/2022
300,Turkey,Rye,Cheddar,Onion,Mustard,Fruit,Water,9/13/2022
301,Turkey,Rye,Provolone,Pickles,Mayo,Fruit,Soda,8/13/2022
302,Ham,Rye,Cheddar,Onion,Mustard,Fruit,Soda,2/1/2022
303,Veggie,White,Provolone,Pickles,Mayo,Chips,Iced Tea,6/18/2022
304,Veggie,Wheat,Provolone,Tomato,Mayo,Chips,Iced Tea,11/12/2022
305,Turkey,Wheat,Swiss,Pickles,Mustard,Salad,Soda,7/5/2022
306,Veggie,White,Provolone,Tomato,Ranch,Salad,Iced Tea,6/26/2022
307,Ham,White,Swiss,Onion,Ranch,Chips,Iced Tea,6/15/2022
308,Veggie,Wheat,Provolone,Onion,Ranch,Chips,Soda,3/3/2022
309,Veggie,Rye,Swiss,Pickles,Mustard,Salad,Soda,10/24/2022
310,Turkey,Rye,Provolone,Tomato,Ranch,Chips,Soda,8/29/2022
311,Veggie,White,Provolone,Lettuce,Mayo,Fruit,Soda,9/13/2022
312,Turkey,Rye,Provolone,Onion,Ranch,Salad,Soda,6/17/2022
313,Veggie,Rye,Swiss,Tomato,Ranch,Salad,Water,7/26/2022
314,Ham,White,Swiss,Lettuce,Ranch,Chips,Water,4/5/2022
315,Ham,Wheat,Cheddar,Lettuce,Ranch,Salad,Iced Tea,8/7/2022
316,Ham,Wheat,Provolone,Onion,Mayo,Salad,Iced Tea,8/30/2022
317,Turkey,Wheat,Cheddar,Pickles,Mustard,Chips,Soda,2/2/2022
318,Turkey,Wheat,Cheddar,Onion,Mayo,Salad,Iced Tea,7/26/2022
319,Veggie,Wheat,Swiss,Tomato,Mayo,Fruit,Iced Tea,10/25/2022
320,Ham,White,Provolone,Tomato,Mustard,Chips,Soda,5/19/2022
321,Veggie,Wheat,Cheddar,Pickles,Ranch,Chips,Water,1/1/2022
322,Ham,Rye,Cheddar,Pickles,Mustard,Salad,Soda,4/29/2022
323,Ham,Rye,Swiss,Lettuce,Mustard,Salad,Water,10/25/2022
324,Ham,Rye,Swiss,Onion,Mayo,Fruit,Soda,11/16/2022
325,Turkey,White,Provolone,Onion,Ranch,Fruit,Soda,1/11/2022
326,Ham,White,Swiss,Onion,Mustard,Chips,Soda,5/21/2022
327,Ham,Rye,Swiss,Pickles,Mustard,Chips,Soda,11/27/2022
328,Ham,White,Swiss,Lettuce,Mustard,Fruit,Soda,7/17/2022
329,Veggie,Rye,Provolone,Onion,Mustard,Salad,Water,7/10/2022
330,Ham,Rye,Swiss,Lettuce,Ranch,Fruit,Water,10/30/2022
331,Veggie,Rye,Cheddar,Lettuce,Ranch,Fruit,Soda,12/15/2022
332,Ham,Wheat,Cheddar,Pickles,Ranch,Fruit,Water,3/28/2022
333,Turkey,Wheat,Swiss,Lettuce,Mayo,Fruit,Iced Tea,10/13/2022
