sandwich_id,bun_type,meat_type,veggies,condiments,calories,price,preparation_time,expiration_date
47,brioche,roast beef,tomato,mayonnaise,493,11.86,20,6/15/2023
48,whole wheat,ham,pickles,mustard,447,10.72,18,9/11/2023
49,whole wheat,turkey,tomato,mayonnaise,322,8.74,7,10/9/2023
50,whole wheat,ham,lettuce,mayonnaise,370,9.16,19,1/29/2023
51,white,ham,tomato,mayonnaise,339,11.61,10,11/2/2023
52,brioche,ham,onion,mustard,214,6.95,9,1/9/2023
53,white,ham,tomato,ketchup,489,9.37,19,1/23/2023
54,white,ham,tomato,mustard,321,12.18,6,2/6/2023
55,brioche,roast beef,tomato,mayonnaise,357,9.95,11,9/30/2023
56,whole wheat,turkey,pickles,ketchup,494,6.31,15,1/25/2023
57,brioche,turkey,onion,mayonnaise,699,11.13,18,1/20/2023
58,brioche,ham,lettuce,ketchup,684,12.64,17,1/8/2023
59,white,ham,tomato,ketchup,525,12.64,12,11/30/2023
60,white,ham,tomato,ketchup,709,11.08,12,12/22/2023
61,whole wheat,turkey,onion,ketchup,767,8.1,5,2/28/2023
62,white,ham,lettuce,mustard,648,9.83,20,10/26/2023
63,whole wheat,ham,tomato,ketchup,572,8.7,18,11/26/2023
64,whole wheat,turkey,onion,mayonnaise,541,6.97,20,11/19/2023
65,whole wheat,turkey,lettuce,mustard,581,9.54,9,10/18/2023
66,whole wheat,ham,lettuce,mayonnaise,771,12.63,17,10/21/2023
67,whole wheat,ham,onion,ketchup,241,8.72,7,2/7/2023
68,brioche,roast beef,pickles,mustard,723,12.12,16,7/2/2023
69,whole wheat,roast beef,lettuce,mayonnaise,612,9.56,10,4/6/2023
70,white,ham,lettuce,ketchup,783,11.95,12,1/8/2023
71,white,turkey,lettuce,mustard,409,8.3,8,6/26/2023
72,brioche,roast beef,lettuce,mayonnaise,452,12.26,15,6/20/2023
73,white,ham,pickles,ketchup,151,8.42,15,11/16/2023
74,white,ham,onion,ketchup,457,11.91,14,4/22/2023
75,whole wheat,ham,pickles,ketchup,191,10.13,6,2/9/2023
76,whole wheat,ham,onion,ketchup,278,6.37,19,4/23/2023
77,white,roast beef,onion,mustard,544,7.6,20,9/24/2023
78,whole wheat,turkey,onion,ketchup,440,11.54,14,10/13/2023
79,whole wheat,ham,pickles,ketchup,358,10.79,18,7/8/2023
80,white,roast beef,lettuce,mayonnaise,617,10.72,15,6/26/2023
81,whole wheat,ham,onion,ketchup,133,8.23,15,12/15/2023
82,white,turkey,lettuce,mayonnaise,630,10.02,16,1/14/2023
83,white,turkey,pickles,ketchup,682,12.58,12,3/11/2023
84,brioche,turkey,lettuce,mustard,416,10.37,10,7/12/2023
85,brioche,turkey,pickles,mustard,196,8.61,10,5/26/2023
86,brioche,turkey,pickles,mayonnaise,783,6.12,7,12/8/2023
87,white,ham,onion,mustard,390,6.62,12,2/5/2023
88,brioche,turkey,tomato,mayonnaise,288,11.5,19,2/13/2023
89,brioche,turkey,lettuce,ketchup,439,8.15,14,4/21/2023
90,brioche,ham,tomato,mayonnaise,520,9.65,15,7/15/2023
91,brioche,turkey,onion,mustard,778,7.35,15,11/18/2023
92,white,ham,pickles,ketchup,788,12.18,16,8/15/2023
93,brioche,ham,lettuce,mustard,622,6.2,19,8/19/2023
94,white,roast beef,onion,mustard,260,6.2,10,4/9/2023
95,brioche,ham,onion,mayonnaise,184,9.85,17,6/7/2023
96,white,turkey,pickles,ketchup,613,10.04,10,6/27/2023
97,white,roast beef,tomato,ketchup,382,8.68,15,3/17/2023
98,white,ham,onion,ketchup,667,8.14,11,7/17/2023
99,white,roast beef,lettuce,mayonnaise,475,9.09,9,5/29/2023
100,whole wheat,ham,tomato,ketchup,364,12.72,10,2/3/2023
101,brioche,turkey,pickles,ketchup,193,6.03,7,12/27/2023
102,brioche,turkey,pickles,mayonnaise,538,10.28,18,3/3/2023
103,whole wheat,turkey,lettuce,mayonnaise,240,10.71,15,10/12/2023
104,brioche,turkey,lettuce,mustard,217,10.53,12,4/10/2023
105,brioche,turkey,pickles,ketchup,448,6.53,5,11/15/2023
106,white,turkey,pickles,mustard,284,6.84,6,7/16/2023
107,brioche,turkey,lettuce,ketchup,616,12.94,15,12/18/2023
108,brioche,turkey,onion,mustard,800,9.5,9,2/13/2023
109,brioche,ham,pickles,mustard,471,10.25,5,3/8/2023
110,brioche,turkey,tomato,mustard,488,12.49,13,12/10/2023
111,whole wheat,turkey,tomato,ketchup,321,9.06,12,8/8/2023
112,white,ham,lettuce,mayonnaise,572,6.2,16,12/7/2023
113,whole wheat,roast beef,onion,mustard,131,7.96,16,9/9/2023
114,white,turkey,pickles,ketchup,700,11.84,10,2/4/2023
115,whole wheat,ham,lettuce,mustard,400,8.75,19,11/7/2023
116,white,turkey,tomato,mustard,725,10.15,16,3/29/2023
117,whole wheat,roast beef,onion,mustard,380,9.81,6,3/11/2023
118,brioche,turkey,tomato,ketchup,572,8.82,6,6/22/2023
119,brioche,roast beef,lettuce,mayonnaise,165,11.66,8,3/27/2023
120,white,roast beef,pickles,ketchup,496,11.62,17,12/14/2023
121,whole wheat,ham,tomato,ketchup,514,9.88,6,3/11/2023
122,whole wheat,turkey,pickles,mayonnaise,555,8.99,5,9/8/2023
123,white,turkey,onion,ketchup,641,10.55,20,10/31/2023
124,whole wheat,roast beef,pickles,mustard,407,12.72,20,4/9/2023
125,brioche,roast beef,tomato,mustard,413,8.13,15,6/20/2023
126,brioche,ham,pickles,ketchup,221,8.41,15,8/22/2023
127,brioche,ham,lettuce,mustard,543,11.88,15,10/15/2023
128,brioche,ham,onion,mustard,137,9.51,20,1/4/2023
129,brioche,ham,pickles,mustard,236,10.34,12,3/29/2023
130,whole wheat,turkey,pickles,mustard,476,8.38,14,7/23/2023
131,whole wheat,roast beef,onion,mayonnaise,602,8.82,18,10/12/2023
132,brioche,ham,pickles,ketchup,261,7.68,12,12/27/2023
133,brioche,roast beef,pickles,mayonnaise,465,9.25,11,5/23/2023
134,whole wheat,turkey,lettuce,mayonnaise,765,8.39,10,8/14/2023
135,brioche,roast beef,lettuce,mayonnaise,762,9.71,14,6/8/2023
136,white,roast beef,lettuce,mustard,732,9.94,11,1/31/2023
137,whole wheat,ham,tomato,ketchup,470,6.52,8,3/21/2023
138,brioche,ham,tomato,ketchup,465,6.66,16,11/1/2023
139,white,ham,tomato,ketchup,466,11.54,8,6/17/2023
140,whole wheat,roast beef,pickles,mustard,187,8.34,15,2/6/2023
141,white,ham,onion,ketchup,657,8.25,18,6/9/2023
142,white,ham,onion,mustard,681,7.62,11,5/17/2023
143,white,ham,onion,ketchup,297,11.41,13,3/20/2023
144,whole wheat,turkey,onion,mayonnaise,721,10.25,7,3/24/2023
145,whole wheat,turkey,lettuce,ketchup,752,6.88,5,8/27/2023
146,whole wheat,turkey,onion,mustard,224,8.46,19,2/18/2023
147,brioche,roast beef,lettuce,mustard,418,8.57,12,6/14/2023
148,whole wheat,ham,pickles,mustard,724,8.48,16,2/12/2023
149,brioche,roast beef,onion,ketchup,207,8.23,14,11/21/2023
150,whole wheat,ham,lettuce,ketchup,600,8.98,15,6/10/2023
151,white,roast beef,lettuce,ketchup,539,8.46,7,4/9/2023
152,brioche,roast beef,tomato,mustard,615,7.9,12,1/16/2023
153,brioche,turkey,lettuce,ketchup,559,6.41,12,11/23/2023
154,brioche,roast beef,lettuce,ketchup,191,7.77,9,4/21/2023
155,brioche,roast beef,lettuce,ketchup,586,6.37,16,10/13/2023
156,brioche,ham,pickles,mustard,625,12.7,19,12/4/2023
157,white,turkey,onion,ketchup,699,11.73,17,4/30/2023
158,white,turkey,lettuce,mayonnaise,492,7.62,9,11/13/2023
159,white,roast beef,onion,mustard,369,7.36,8,12/24/2023
160,white,roast beef,pickles,ketchup,317,11.04,5,3/7/2023
161,whole wheat,turkey,pickles,ketchup,204,8.05,8,9/30/2023
162,white,ham,pickles,ketchup,405,12.15,10,1/25/2023
163,white,turkey,onion,mustard,507,9.39,8,11/5/2023
164,white,turkey,pickles,mayonnaise,223,7.72,15,5/27/2023
165,brioche,turkey,lettuce,mustard,653,6.79,17,11/26/2023
166,whole wheat,ham,onion,ketchup,202,9.53,10,10/8/2023
167,brioche,roast beef,tomato,mustard,169,11.98,16,8/22/2023
168,whole wheat,roast beef,onion,mayonnaise,410,6.06,16,4/6/2023
169,whole wheat,turkey,tomato,ketchup,748,9.97,7,6/21/2023
170,white,ham,pickles,mustard,262,12.05,20,1/15/2023
171,brioche,turkey,onion,mustard,648,6.02,12,6/10/2023
172,whole wheat,ham,pickles,mustard,609,12.0,7,5/18/2023
173,white,roast beef,pickles,mustard,641,12.94,11,9/3/2023
174,whole wheat,roast beef,pickles,ketchup,348,7.92,14,7/24/2023
175,whole wheat,turkey,tomato,ketchup,270,7.19,10,10/12/2023
176,whole wheat,turkey,pickles,ketchup,639,12.75,13,6/21/2023
177,whole wheat,turkey,pickles,ketchup,230,7.76,7,2/20/2023
178,white,turkey,pickles,ketchup,535,12.05,5,1/19/2023
179,whole wheat,ham,pickles,mayonnaise,772,9.02,6,10/2/2023
180,white,ham,lettuce,mustard,156,11.57,18,10/29/2023
181,white,roast beef,tomato,ketchup,171,7.62,18,6/24/2023
182,brioche,ham,pickles,mustard,656,12.68,8,11/30/2023
183,brioche,roast beef,onion,mayonnaise,137,8.55,16,3/27/2023
184,whole wheat,ham,tomato,ketchup,111,8.33,20,12/2/2023
185,whole wheat,turkey,lettuce,mayonnaise,762,9.77,14,7/14/2023
186,brioche,ham,lettuce,ketchup,719,10.79,16,8/18/2023
187,whole wheat,roast beef,lettuce,mayonnaise,448,7.37,11,9/23/2023
188,brioche,turkey,lettuce,ketchup,371,8.93,11,8/29/2023
189,white,turkey,lettuce,mayonnaise,548,11.63,8,1/20/2023
190,whole wheat,ham,pickles,ketchup,248,11.84,8,8/17/2023
191,white,roast beef,lettuce,mustard,288,8.36,10,9/30/2023
192,brioche,turkey,lettuce,mayonnaise,564,6.55,11,5/10/2023
193,brioche,roast beef,onion,mustard,781,9.4,5,10/17/2023
194,brioche,roast beef,tomato,mustard,794,8.56,10,9/6/2023
195,white,roast beef,tomato,ketchup,735,10.21,13,5/27/2023
196,whole wheat,roast beef,pickles,mustard,699,10.2,10,7/31/2023
197,whole wheat,roast beef,pickles,ketchup,441,10.72,18,7/18/2023
198,brioche,roast beef,lettuce,mayonnaise,787,6.55,20,9/15/2023
199,brioche,turkey,pickles,mustard,603,11.18,17,9/5/2023
200,white,roast beef,onion,ketchup,724,6.33,15,3/3/2023
201,white,turkey,tomato,ketchup,520,11.99,20,6/16/2023
202,brioche,turkey,onion,ketchup,171,8.37,8,10/19/2023
203,whole wheat,ham,onion,mayonnaise,653,11.52,14,3/5/2023
204,white,roast beef,lettuce,mayonnaise,128,7.97,14,8/29/2023
205,white,ham,onion,ketchup,187,6.58,16,10/25/2023
206,whole wheat,roast beef,tomato,mayonnaise,387,9.74,12,4/4/2023
207,white,roast beef,pickles,ketchup,164,9.21,16,5/19/2023
208,whole wheat,roast beef,tomato,mustard,703,10.9,8,2/6/2023
209,whole wheat,roast beef,pickles,ketchup,543,12.33,15,8/1/2023
210,whole wheat,ham,tomato,mustard,487,9.38,20,9/12/2023
211,whole wheat,roast beef,pickles,ketchup,410,11.62,11,8/17/2023
212,white,roast beef,tomato,mustard,377,11.21,16,7/23/2023
213,brioche,roast beef,tomato,mustard,612,8.76,5,7/22/2023
214,whole wheat,ham,pickles,ketchup,361,6.44,11,10/1/2023
215,white,ham,lettuce,mustard,690,10.4,17,5/5/2023
216,white,ham,onion,ketchup,533,10.37,12,5/21/2023
217,white,ham,pickles,mayonnaise,342,10.59,11,2/13/2023
218,brioche,turkey,onion,mustard,748,8.6,15,10/16/2023
219,white,ham,onion,ketchup,390,11.76,8,1/22/2023
220,white,roast beef,pickles,ketchup,738,7.87,17,4/25/2023
221,brioche,roast beef,onion,mustard,534,9.54,17,4/18/2023
222,white,roast beef,pickles,mayonnaise,587,12.81,13,8/13/2023
223,white,turkey,onion,mayonnaise,578,12.79,5,12/4/2023
224,white,ham,lettuce,ketchup,496,7.11,17,1/23/2023
225,white,ham,onion,mustard,491,11.94,10,7/17/2023
226,whole wheat,turkey,tomato,mustard,125,9.3,8,7/12/2023
227,white,turkey,onion,mustard,372,11.4,6,10/30/2023
228,whole wheat,ham,onion,ketchup,486,9.31,6,7/29/2023
229,whole wheat,roast beef,pickles,mayonnaise,708,8.02,10,8/6/2023
230,white,turkey,tomato,mustard,741,7.64,10,2/13/2023
231,brioche,roast beef,onion,mustard,727,9.85,17,1/21/2023
232,whole wheat,ham,onion,mayonnaise,417,12.43,19,10/3/2023
233,whole wheat,ham,lettuce,mustard,663,9.55,7,10/16/2023
234,white,turkey,lettuce,ketchup,249,9.31,20,10/16/2023
235,brioche,turkey,tomato,ketchup,505,9.4,6,3/31/2023
236,brioche,roast beef,onion,mayonnaise,794,10.84,16,8/3/2023
237,white,turkey,tomato,mustard,580,10.97,14,9/10/2023
238,white,turkey,tomato,ketchup,674,11.22,8,1/6/2023
239,whole wheat,turkey,lettuce,mayonnaise,173,11.1,6,10/22/2023
240,whole wheat,roast beef,pickles,ketchup,633,6.71,18,8/27/2023
241,whole wheat,ham,tomato,mayonnaise,623,9.6,11,11/19/2023
242,whole wheat,roast beef,pickles,mayonnaise,695,6.27,12,2/6/2023
243,white,turkey,tomato,mustard,608,9.82,9,10/17/2023
244,whole wheat,turkey,tomato,mustard,732,11.95,13,8/30/2023
245,brioche,turkey,pickles,mustard,751,9.06,10,6/1/2023
246,whole wheat,turkey,pickles,mustard,740,10.04,17,7/2/2023
247,brioche,turkey,pickles,ketchup,479,7.61,6,1/21/2023
248,whole wheat,roast beef,pickles,ketchup,129,9.38,6,3/15/2023
249,white,ham,onion,mustard,491,9.85,16,5/27/2023
250,brioche,turkey,onion,mustard,746,10.37,18,12/4/2023
251,white,roast beef,lettuce,mustard,244,9.76,5,4/30/2023
252,whole wheat,turkey,tomato,mayonnaise,383,7.88,8,2/27/2023
253,whole wheat,roast beef,tomato,mayonnaise,164,9.74,20,10/31/2023
254,brioche,ham,tomato,ketchup,525,12.63,18,8/15/2023
255,white,roast beef,pickles,mayonnaise,566,11.25,6,4/17/2023
256,whole wheat,ham,lettuce,mayonnaise,788,11.53,12,8/4/2023
257,whole wheat,turkey,onion,mustard,513,9.75,13,10/28/2023
258,whole wheat,turkey,lettuce,mayonnaise,318,11.66,17,9/29/2023
259,brioche,ham,onion,ketchup,571,12.23,12,8/20/2023
260,whole wheat,ham,tomato,ketchup,715,11.77,11,1/7/2023
261,whole wheat,ham,onion,mayonnaise,149,10.03,17,5/25/2023
262,whole wheat,roast beef,lettuce,mayonnaise,187,6.0,14,6/24/2023
263,whole wheat,roast beef,onion,mayonnaise,441,12.37,15,9/9/2023
264,white,turkey,pickles,mustard,681,8.02,18,1/30/2023
265,whole wheat,ham,pickles,mayonnaise,307,9.6,15,7/9/2023
266,brioche,roast beef,pickles,mustard,391,9.76,20,2/1/2023
267,whole wheat,ham,lettuce,ketchup,616,11.33,20,9/5/2023
268,white,roast beef,lettuce,mustard,179,11.93,20,12/3/2023
269,brioche,turkey,tomato,mustard,775,11.64,18,2/7/2023
270,brioche,roast beef,pickles,mayonnaise,436,11.95,7,6/1/2023
271,whole wheat,turkey,pickles,ketchup,459,12.98,14,6/25/2023
272,whole wheat,roast beef,onion,mustard,504,11.7,18,5/20/2023
273,white,turkey,pickles,mayonnaise,103,7.48,11,11/17/2023
274,whole wheat,turkey,lettuce,ketchup,628,11.51,12,3/28/2023
275,white,roast beef,lettuce,mustard,303,8.32,20,7/3/2023
276,white,roast beef,pickles,ketchup,452,8.4,10,12/21/2023
277,brioche,ham,onion,ketchup,194,7.5,6,6/24/2023
278,brioche,roast beef,onion,ketchup,301,7.73,16,5/2/2023
279,white,roast beef,pickles,mustard,137,12.07,14,10/8/2023
280,brioche,roast beef,pickles,mayonnaise,730,12.38,8,2/5/2023
281,whole wheat,ham,onion,mayonnaise,615,8.77,14,8/13/2023
282,white,turkey,lettuce,mustard,612,6.47,17,6/14/2023
283,whole wheat,turkey,onion,mustard,133,6.35,11,3/16/2023
284,white,ham,lettuce,mayonnaise,179,11.17,17,11/11/2023
285,whole wheat,turkey,tomato,mustard,264,9.86,11,7/4/2023
286,brioche,turkey,lettuce,ketchup,526,10.75,6,9/22/2023
287,white,turkey,pickles,mayonnaise,507,9.66,8,2/9/2023
288,white,turkey,pickles,ketchup,759,10.76,14,9/19/2023
289,white,roast beef,lettuce,mustard,516,6.65,19,8/7/2023
290,whole wheat,turkey,tomato,mustard,608,6.9,19,4/17/2023
291,whole wheat,roast beef,lettuce,ketchup,488,11.09,8,10/29/2023
292,brioche,roast beef,onion,ketchup,212,8.71,19,9/19/2023
293,whole wheat,ham,lettuce,mustard,304,6.3,12,2/22/2023
294,white,roast beef,lettuce,mustard,387,12.28,19,11/18/2023
295,whole wheat,ham,onion,ketchup,618,12.4,12,8/18/2023
296,whole wheat,ham,lettuce,mayonnaise,344,12.27,13,3/3/2023
297,brioche,turkey,tomato,mustard,798,6.51,13,12/13/2023
298,brioche,ham,tomato,ketchup,375,12.13,8,1/13/2023
299,whole wheat,turkey,pickles,mayonnaise,455,11.27,11,11/2/2023
300,white,ham,lettuce,ketchup,794,11.81,5,4/17/2023
301,white,ham,pickles,mayonnaise,368,10.89,19,8/18/2023
302,brioche,turkey,pickles,mustard,755,9.42,12,6/8/2023
303,whole wheat,roast beef,pickles,ketchup,522,10.27,12,11/18/2023
304,brioche,roast beef,onion,mayonnaise,132,11.94,6,6/22/2023
305,white,roast beef,lettuce,mayonnaise,703,8.39,12,7/3/2023
306,whole wheat,roast beef,pickles,ketchup,317,10.4,7,3/29/2023
307,whole wheat,ham,tomato,mustard,274,8.64,12,12/18/2023
308,white,turkey,lettuce,mustard,308,11.1,7,2/6/2023
309,white,roast beef,pickles,mustard,683,11.38,14,6/13/2023
310,whole wheat,turkey,tomato,mayonnaise,128,10.84,10,4/13/2023
311,white,turkey,onion,mayonnaise,528,12.22,6,1/13/2023
312,white,ham,pickles,mayonnaise,215,12.94,18,5/30/2023
313,white,roast beef,lettuce,mustard,304,12.21,10,1/9/2023
314,whole wheat,turkey,pickles,mustard,655,10.75,10,10/10/2023
315,brioche,turkey,lettuce,mayonnaise,725,11.54,18,12/19/2023
316,whole wheat,roast beef,pickles,ketchup,380,7.38,20,9/19/2023
317,brioche,turkey,onion,mustard,606,10.62,5,6/14/2023
318,whole wheat,roast beef,pickles,mayonnaise,555,11.99,18,11/18/2023
319,white,turkey,pickles,mayonnaise,185,7.44,7,10/21/2023
320,whole wheat,ham,pickles,mustard,796,10.21,20,6/8/2023
321,brioche,roast beef,pickles,mayonnaise,219,9.45,5,5/18/2023
322,white,turkey,tomato,ketchup,750,10.56,7,8/7/2023
323,white,ham,tomato,ketchup,734,6.26,10,10/15/2023
324,brioche,ham,pickles,ketchup,635,7.48,11,8/19/2023
325,white,ham,tomato,mustard,632,6.59,17,1/12/2023
326,brioche,ham,lettuce,mayonnaise,457,9.87,13,9/22/2023
327,brioche,turkey,tomato,ketchup,282,11.1,13,8/29/2023
328,brioche,ham,onion,mayonnaise,646,8.91,15,12/29/2023
329,white,turkey,pickles,mayonnaise,232,6.18,7,3/26/2023
330,brioche,turkey,tomato,ketchup,173,8.71,12,10/7/2023
331,white,roast beef,onion,mayonnaise,510,6.12,13,4/29/2023
332,brioche,ham,pickles,ketchup,412,12.96,10,2/23/2023
333,brioche,roast beef,lettuce,mayonnaise,164,12.25,18,2/9/2023
334,brioche,roast beef,tomato,mustard,786,9.07,5,4/20/2023
335,whole wheat,turkey,tomato,mustard,480,7.4,9,4/26/2023
336,brioche,turkey,tomato,mustard,646,9.11,17,10/25/2023
337,brioche,ham,lettuce,mustard,173,7.55,17,1/18/2023
338,whole wheat,roast beef,pickles,ketchup,669,9.19,6,9/15/2023
339,white,turkey,lettuce,mustard,599,11.64,14,12/27/2023
340,white,roast beef,tomato,mayonnaise,766,7.04,15,2/7/2023
341,white,roast beef,lettuce,ketchup,365,12.92,11,6/30/2023
342,whole wheat,roast beef,pickles,mayonnaise,672,7.54,10,2/19/2023
343,brioche,ham,lettuce,ketchup,224,12.47,17,4/30/2023
344,white,turkey,lettuce,mayonnaise,312,6.54,19,6/9/2023
345,whole wheat,turkey,onion,mustard,326,9.53,7,3/10/2023
346,whole wheat,roast beef,tomato,mustard,783,9.54,10,2/5/2023
347,white,ham,lettuce,mustard,643,11.3,12,8/27/2023
348,white,turkey,pickles,mustard,161,9.55,16,2/16/2023
349,white,turkey,onion,ketchup,377,8.92,19,1/31/2023
350,white,ham,onion,mustard,712,9.72,12,2/8/2023
351,white,roast beef,onion,ketchup,433,10.13,8,12/29/2023
352,white,turkey,lettuce,ketchup,550,7.64,19,8/24/2023
353,white,ham,lettuce,mustard,498,10.39,6,8/18/2023
354,brioche,roast beef,tomato,mayonnaise,557,11.5,7,10/26/2023
355,white,roast beef,onion,ketchup,794,8.37,8,9/7/2023
356,white,turkey,lettuce,mayonnaise,487,9.47,20,2/4/2023
357,white,ham,tomato,ketchup,701,11.23,15,7/28/2023
358,white,turkey,onion,ketchup,284,12.92,11,2/7/2023
359,white,roast beef,lettuce,ketchup,278,10.28,15,5/8/2023
360,white,ham,onion,mayonnaise,550,6.0,9,5/13/2023
361,white,turkey,tomato,mustard,282,10.26,9,6/3/2023
362,white,ham,tomato,ketchup,334,10.19,9,1/11/2023
363,brioche,roast beef,tomato,mustard,705,6.69,19,5/7/2023
364,whole wheat,ham,pickles,ketchup,465,8.6,10,12/24/2023
365,brioche,ham,onion,mayonnaise,682,8.5,10,7/5/2023
366,white,roast beef,lettuce,mustard,325,11.68,17,3/8/2023
367,brioche,turkey,tomato,mayonnaise,406,9.12,16,2/23/2023
368,whole wheat,roast beef,onion,ketchup,434,10.86,19,2/9/2023
369,whole wheat,ham,pickles,mayonnaise,603,12.08,10,5/20/2023
370,brioche,ham,tomato,ketchup,428,12.65,5,2/14/2023
371,white,ham,tomato,mustard,237,7.85,10,11/18/2023
372,white,ham,tomato,mayonnaise,760,7.16,8,5/25/2023
373,brioche,turkey,lettuce,ketchup,730,10.09,8,3/10/2023
374,brioche,roast beef,onion,mustard,789,9.84,11,2/7/2023
375,brioche,turkey,lettuce,ketchup,575,11.38,7,7/19/2023
376,whole wheat,roast beef,onion,mustard,608,11.03,18,5/29/2023
377,white,roast beef,lettuce,mayonnaise,439,6.91,18,7/11/2023
378,white,roast beef,pickles,mayonnaise,403,7.28,18,5/27/2023
379,whole wheat,ham,lettuce,ketchup,294,9.74,6,5/30/2023
380,brioche,ham,pickles,ketchup,162,7.19,17,9/21/2023
381,whole wheat,roast beef,onion,mayonnaise,114,7.72,14,11/21/2023
382,white,turkey,pickles,ketchup,263,12.61,17,5/6/2023
383,whole wheat,ham,lettuce,ketchup,422,11.14,5,1/20/2023
384,brioche,turkey,pickles,ketchup,367,8.13,20,12/28/2023
385,brioche,ham,lettuce,mustard,708,11.2,18,5/23/2023
386,whole wheat,ham,pickles,mayonnaise,604,9.51,16,10/14/2023
387,brioche,turkey,tomato,ketchup,526,6.49,13,2/13/2023
388,brioche,ham,pickles,mayonnaise,633,8.39,19,10/15/2023
389,brioche,ham,lettuce,ketchup,733,11.83,15,4/23/2023
390,white,ham,onion,mustard,389,7.38,6,10/26/2023
391,whole wheat,roast beef,pickles,mayonnaise,520,9.71,17,8/27/2023
392,white,roast beef,lettuce,mayonnaise,507,10.51,12,1/1/2023
393,brioche,ham,lettuce,mayonnaise,515,9.64,11,5/2/2023
394,whole wheat,roast beef,lettuce,ketchup,129,7.42,6,9/11/2023
395,brioche,roast beef,onion,mustard,622,6.65,9,3/11/2023
396,white,turkey,lettuce,mustard,457,8.99,16,10/5/2023
397,white,turkey,onion,ketchup,240,7.05,12,11/16/2023
398,white,turkey,lettuce,mayonnaise,773,8.8,13,6/20/2023
399,whole wheat,roast beef,lettuce,mustard,626,11.09,13,1/8/2023
400,brioche,turkey,tomato,ketchup,550,6.33,9,3/29/2023
401,brioche,roast beef,lettuce,mayonnaise,771,12.19,13,4/17/2023
402,whole wheat,roast beef,lettuce,mustard,404,12.54,12,5/17/2023
403,whole wheat,ham,tomato,mustard,354,7.06,10,10/30/2023
404,whole wheat,ham,onion,ketchup,691,7.44,16,8/2/2023
405,brioche,roast beef,pickles,mustard,366,9.02,7,10/5/2023
406,white,roast beef,pickles,mayonnaise,418,9.9,17,9/19/2023
