speedrun_time,speedrunner_username,date_time_set
18546344,cram60,8/27/2022
23425412,kakett61,9/20/2024
41612110,tcampey62,11/6/2023
32825128,telwin63,5/20/2020
30452270,mhumpherson64,9/11/2022
40163514,rborland65,12/21/2021
42487410,kdurnall66,7/2/2022
26820460,amcgiffin67,5/24/2020
36198914,tblenkensop68,10/1/2021
28900237,toxbrough69,9/27/2023
42539351,ichilds6a,6/24/2022
27546153,zkeemar6b,10/28/2024
39938004,bdeeprose6c,3/13/2020
32234120,msaggers6d,1/28/2022
41942635,cwoofendell6e,10/9/2022
19154705,ahalahan6f,1/18/2023
27878283,mtroman6g,9/8/2023
31493771,msextone6h,6/22/2024
27440326,lsherlaw6i,1/6/2024
31319331,jbelleny6j,3/22/2023
32457302,jscholefield6k,7/24/2023
29087037,wlefloch6l,12/1/2021
37341563,kperryman6m,1/22/2020
42326032,gbricknell6n,9/10/2022
30607179,mferson6o,11/11/2023
23781301,acockings6p,9/10/2022
27775661,bibbett6q,9/23/2024
25598126,bbroadway6r,3/26/2021
29985836,asnookes6s,10/17/2022
39275298,cheber6t,1/22/2023
29687196,kdavid6u,9/22/2024
40550635,cjankovic6v,1/25/2024
31657378,ttowne6w,3/5/2023
41721694,fbunny6x,8/31/2024
29589889,dhalfhyde6y,9/2/2020
29448433,gmauditt6z,1/4/2020
42741660,arudgard70,3/17/2021
27118892,mblackbourn71,10/6/2020
41643661,kcrayker72,11/13/2024
35474763,fvankov73,11/5/2024
33561034,bfountaine74,3/24/2022
19349461,hhubber75,2/18/2024
22779451,asmaile76,7/1/2021
20487801,tlummasana77,5/24/2024
24789190,coshiel78,3/23/2024
36258038,bferenczy79,7/17/2022
34541088,sgregoletti7a,3/18/2024
41603232,opardie7b,5/3/2023
26295081,mmcgraw7c,12/2/2022
35763188,kramsted7d,8/17/2023
43387122,rbennetto7e,7/3/2022
32871865,vboig7f,9/8/2021
21509703,klowless7g,4/22/2024
35107543,fnerne7h,2/5/2024
41342395,pnoden7i,9/18/2022
18508715,jcutting7j,11/7/2022
32115886,bbroome7k,3/2/2021
24443828,mwiddicombe7l,8/7/2020
24412770,bericssen7m,5/2/2023
34897697,sstanding7n,3/26/2022
29351913,kfranklyn7o,7/30/2024
28885771,jdodshon7p,2/6/2020
39954671,klocal7q,6/19/2021
27709188,wfenby7r,10/15/2023
41878747,rlafranconi7s,1/2/2024
42033991,jspawforth7t,6/4/2021
35410782,molyunin7u,4/27/2022
37643018,dwedmore7v,11/16/2022
36518172,jforsbey7w,3/20/2024
23916523,agarmanson7x,6/19/2021
28777589,bmagson7y,12/1/2024
36441986,ngreatham7z,12/1/2020
41594313,ndunsire80,3/21/2023
36559454,otinniswood81,8/15/2022
24767009,lbrandino82,11/5/2020
22081268,cdodimead83,8/19/2023
36520389,vgetty84,9/20/2022
39755952,xmacfadin85,9/22/2021
38833336,fgreenfield86,10/1/2021
31063233,gpeffer87,1/13/2024
25161851,kbattison88,12/20/2024
40497492,fsummersby89,6/5/2024
36227529,emccoid8a,9/28/2021
35585862,cbucknell8b,10/7/2023
41351424,gwickliffe8c,10/5/2024
31434736,rlarciere8d,8/27/2024
41686404,lomahony8e,10/5/2024
22346647,dmcvane8f,11/2/2022
36424773,mstroban8g,8/30/2020
37650640,mhaggata8h,9/18/2022
36201736,rloosely8i,10/6/2022
19759180,tgouldthorp8j,4/29/2020
18502621,gribbon8k,11/30/2022
33414692,gberrick8l,2/1/2024
22025325,gstringer8m,12/2/2023
37556973,asansam8n,3/3/2021
19344838,bsiviour8o,11/11/2022
37585829,sskoggins8p,12/27/2023
20996277,rklemps8q,4/7/2022
39287152,lbloxland8r,5/5/2024
21185332,dkubicki8s,10/10/2020
29100277,hjambrozek8t,12/28/2022
40695643,moutridge8u,5/3/2022
41714763,yboraston8v,10/30/2022
20009001,hhalling8w,1/2/2022
30116093,tdobbin8x,6/24/2023
34376714,agrzelak8y,2/8/2022
35487448,earlett8z,7/5/2021
20959704,cpenke90,3/27/2023
30148934,woduilleain91,11/8/2020
22144735,zlightwing92,2/27/2023
25609213,rfarress93,11/14/2020
20589559,vprince94,5/29/2021
26691307,ctoe95,10/31/2021
37670965,mdallinder96,11/2/2020
40961855,rbibb97,4/1/2023
19162697,dshimony98,3/24/2020
23853230,ochillingworth99,9/24/2022
24060330,astollenberg9a,10/17/2020
19066410,slourenco9b,2/22/2024
19733216,krackstraw9c,12/9/2024
37006480,dlacelett9d,6/7/2020
27461627,dmatura9e,6/13/2023
42379453,lotuohy9f,4/6/2022
20606492,acattermole9g,12/28/2021
30593160,jinskipp9h,3/29/2020
23450416,cmourge9i,2/12/2024
38839987,jadriaan9j,9/28/2023
42646512,rvalente9k,6/18/2021
38524922,zcrosi9l,4/25/2024
34718030,slangwade9m,5/11/2022
36940446,clyddyard9n,1/16/2020
42675554,gduddle9o,3/27/2020
34260357,gjendrys9p,7/25/2021
21798780,nbenoiton9q,5/12/2024
26509938,hrides9r,2/13/2023
32889141,trough9s,10/6/2023
21963545,wgabey9t,3/11/2021
31980723,pbeecroft9u,5/18/2022
36676476,jcron9v,2/14/2022
36776697,vsanches9w,7/19/2023
27312205,vroulston9x,12/3/2024
29777072,amokes9y,2/18/2020
39792924,ekennelly9z,9/8/2022
20893963,efineya0,3/7/2020
20376276,ssowooda1,4/9/2020
42797958,deylesa2,7/13/2020
27266472,tshatliffea3,12/31/2024
34911918,jedkinsa4,8/23/2024
20986003,pbussettia5,12/28/2020
26752454,bmcquina6,10/9/2023
35075496,sgalea7,7/17/2021
32991608,mguarea8,11/21/2023
19468296,bdominellia9,10/28/2021
33095068,djebbaa,4/21/2022
42153279,omickleburghab,10/29/2023
41156489,rbettanayac,4/10/2020
39340935,wgatheridgead,9/5/2024
21907845,cwinskillae,5/2/2020
30010531,epischelaf,1/16/2022
21554547,dkernermannag,7/20/2022
23062679,losbornah,2/17/2023
41527191,spackhamai,10/21/2022
25931791,nlubbockaj,4/28/2021
37860652,fbussensak,2/5/2024
38480843,igreavesal,2/8/2021
37022972,smeaderam,3/2/2022
27907711,bgonzalesan,6/18/2021
35423975,kduncanao,4/26/2022
30868817,lchurchyardap,9/3/2023
31312076,cgresswoodaq,7/21/2022
39442276,mwessellar,5/22/2021
32907089,starquinias,5/5/2024
28466828,nbettesworthat,5/16/2023
31555566,nreignardau,2/16/2020
38493046,kdobeyav,9/12/2020
22298377,bsaleryaw,6/20/2020
35146476,vmeadowcroftax,2/23/2022
29865124,babbattay,7/5/2022
32363258,hbradborneaz,12/31/2023
21957203,kweaversb0,8/18/2022
19004240,kbabstb1,6/23/2021
33992097,mjosipovicb2,12/7/2022
22556899,emollinb3,7/14/2022
34753502,jklejnab4,8/13/2023
35528745,upattersonb5,3/28/2023
30179307,bizkovitchb6,7/17/2024
34267160,smedcalfb7,6/29/2022
26710156,pwilliamb8,10/15/2024
22526219,gspurriorb9,10/30/2020
24602468,fmelliardba,5/9/2021
20042471,ucaddensbb,10/29/2024
34091517,hpopplewellbc,6/15/2021
28158656,rmaysbd,11/15/2020
42274070,whaseleybe,11/27/2021
35411207,alepperbf,12/18/2024
35484771,ssuarezbg,6/20/2023
37292311,rpateybh,6/5/2023
39072004,jbissettbi,12/3/2024
21702699,hscampionbj,1/20/2021
38058719,tdrescherbk,10/31/2021
32459831,gdiehnbl,5/20/2023
34903190,nbulterbm,7/25/2024
32156449,twarburtonbn,4/5/2021
38620733,harkinbo,3/23/2021
42737452,jgrigoliisbp,1/23/2023
42911213,pcontibq,3/16/2020
21842138,mdroghanbr,5/31/2020
23333840,eraynesbs,1/16/2024
36577681,pwoofbt,4/21/2020
35251508,awebbebu,5/16/2020
43483373,mcastelbv,6/10/2020
19304177,gellesbw,8/18/2024
39782694,apitrellibx,10/25/2021
28107380,ematiasby,5/6/2023
42685872,kcarnachenbz,9/8/2022
42073024,pkislingburyc0,10/23/2022
42324849,aenricoc1,6/1/2024
42841661,cgogartyc2,2/12/2022
31254900,kblazic3,5/28/2023
38673976,fdemichettic4,3/13/2022
36805598,ibecksonc5,11/3/2021
20166513,slenneyc6,9/28/2021
40718134,dleaneyc7,12/13/2023
31128211,ddougherc8,6/18/2023
33524498,rhalloranc9,5/14/2021
24826232,cbaumadierca,8/10/2024
38914447,bizzettcb,6/2/2023
34674372,ggenningscc,3/14/2021
35755091,mgertraycd,8/27/2021
35126145,rolandce,7/24/2024
31208207,bchowncf,4/6/2023
22977870,pmapamcg,6/26/2020
41042934,gfishendench,4/30/2023
20138351,tbuddci,9/30/2023
38174876,okeenlysidecj,7/12/2024
21289223,lbriattck,3/21/2022
33988206,awallwoodcl,10/14/2024
36460171,lbuntinecm,5/10/2024
18887857,pghiocn,4/22/2024
22520817,fsteetco,10/20/2023
26677003,mbeldingcp,10/6/2021
39304829,tbendcq,10/18/2021
20936345,ireviecr,9/22/2021
18627126,mbrombellcs,10/15/2024
31308971,nspawellct,6/17/2024
28329728,ltresisecu,7/18/2024
39356501,weveringhamcv,6/25/2021
30484052,araikercw,12/7/2022
23635611,aconrycx,9/22/2023
30782204,lriggulsfordcy,4/10/2021
30174519,dastlescz,9/7/2020
33666901,spardeyd0,2/10/2021
26941998,bbyramd1,10/29/2020
29166910,ebauserd2,6/24/2022
34898536,cforderd3,5/15/2023
40941127,rstairmandd4,9/26/2021
40480283,bfraczakd5,5/12/2024
26645880,shasseyd6,8/22/2023
42452415,aguilaemd7,10/12/2020
18984825,tdoorbard8,12/25/2022
20065855,cpottaged9,11/30/2020
26268378,gskoylesda,11/6/2021
37592820,astainfielddb,5/9/2022
33832333,clantedc,12/4/2020
19445920,ktattersdd,4/21/2021
38715992,paubryde,8/30/2021
21416888,ofennellydf,4/25/2023
30824622,ihealddg,2/24/2022
21908009,csaxelbydh,5/16/2024
28443193,rmcilhonedi,6/7/2021
19715229,gcaliforniadj,12/14/2024
20040806,sedgelerdk,1/20/2020
23045900,lnouchdl,12/24/2024
26458790,mpharedm,7/16/2020
34722917,bwisemandn,6/30/2020
25968742,ekaasmando,2/11/2022
37574879,pashleydp,5/8/2023
32592966,ggauntleydq,5/7/2021
22644621,akubikdr,6/25/2020
37637010,kbowickds,8/27/2021
41226354,jhuntdt,6/2/2022
22392166,mmcanalleydu,12/31/2020
25548247,lfusseydv,3/23/2023
26258147,astoakleydw,5/20/2022
29180666,tjevesdx,11/29/2022
41504813,abougheydy,9/19/2021
33309113,mgherardinidz,2/23/2023
32892348,astellinoe0,11/16/2023
22421971,cbedrosiane1,10/15/2020
41081835,flenoire2,6/19/2021
28529285,mballstone3,11/24/2021
28144843,jabelle4,11/11/2020
26069134,mdaviddie5,4/15/2021
33114754,ldjurevice6,5/7/2021
35684715,gjanningse7,1/23/2024
18584926,afraneye8,5/28/2020
24136426,lleggene9,5/26/2023
21573791,tchecchiea,1/5/2020
42112479,pzanittieb,2/5/2020
31160410,krobertetec,10/28/2024
23669050,csiudaed,5/3/2024
31881844,ahigbinee,12/31/2022
33108093,rdizlieef,10/21/2023
40967911,ahunnicoteg,8/23/2023
27141489,oambrosinieh,6/15/2020
33547135,jrodgersei,3/20/2020
26190971,wcockmanej,2/13/2022
20377211,oshillingtonek,3/16/2020
40728580,rmobiusel,11/15/2023
25029383,mdrissellem,8/5/2022
28784073,bkinforthen,10/3/2024
40787902,tbeisleyeo,10/15/2021
32547413,dgoundsyep,8/13/2020
23452242,draglesseq,4/15/2021
42438453,cdolliner,11/20/2024
25123246,ahartases,10/8/2021
39176837,kwhightmanet,9/9/2024
27598383,spenyltoneu,6/28/2021
37311382,mnotherev,4/6/2024
29810622,adurdleew,3/1/2020
21909640,adadeex,6/14/2023
28049716,ggautreyey,8/11/2024
38972438,lniessenez,3/5/2021
39670890,amcmichanf0,12/20/2023
21615205,krajchertf1,2/4/2022
34570050,vbosself2,8/1/2022
21316820,fheeranf3,6/29/2022
38042884,lklischf4,11/23/2020
18651793,cwellsmanf5,12/15/2024
42043684,abaldinif6,4/20/2024
22923173,sbienvenuf7,11/30/2024
24428750,mphillputf8,3/7/2021
29469485,lbimsf9,4/30/2021
20894661,tbinnsfa,4/18/2023
19644768,abaracloughfb,6/15/2024
38284055,mdungeyfc,4/24/2021
27224604,scammockfd,10/1/2021
36717359,mridsdalefe,12/27/2021
19442213,mwardenff,9/1/2024
22853136,obrabbanfg,2/2/2023
19356093,cgoolyfh,6/6/2022
38618165,djohnseyfi,8/24/2020
34007155,rsarchfj,6/29/2022
29228204,tdewirefk,7/26/2021
24722787,mscrivnerfl,11/2/2021
25428954,vwillmontfm,8/16/2024
31156751,jcasterotfn,7/20/2024
19344500,alorenzinfo,11/8/2022
21388555,astruthersfp,5/22/2024
22901734,htruemanfq,11/18/2021
32253789,amolesfr,2/8/2022
25380697,cperringfs,5/9/2023
36377098,croperft,9/26/2020
23801893,aismayfu,7/27/2024
22415677,gneilandfv,5/3/2021
33417546,kloftiefw,10/31/2024
28984428,wdellascalafx,7/23/2023
23368566,sshailerfy,4/24/2023
36539407,btotenfz,10/29/2020
38476226,dpolong0,5/22/2022
20280843,sbrixhamg1,12/1/2024
39081665,mdominyg2,12/14/2021
35048360,dlamburng3,7/2/2024
40346049,wlawlyg4,9/30/2022
31530648,hsmeeg5,2/16/2023
40223099,gvillageg6,2/23/2021
28350437,dpatridgeg7,5/17/2024
34335930,bksandrag8,5/15/2024
31523020,vraithbyg9,12/16/2024
21929661,mdriffega,4/4/2021
25146603,jflorygb,8/28/2021
37891236,tschildgc,12/24/2022
24997411,muccelligd,9/22/2020
23667755,whamblingtonge,7/24/2022
24743047,mraggettgf,12/17/2022
42119205,mphilpotsgg,11/17/2020
22944985,ajeayesgh,1/13/2020
23191253,binworthgi,2/27/2024
27052910,cpluesgj,9/11/2024
20051391,lgorssegk,3/22/2023
26541984,gmcculleygl,2/20/2023
42755430,kberrisfordgm,4/1/2024
26530230,dtarbardgn,7/19/2023
27488811,rsevittgo,3/15/2022
38956768,lgurrygp,4/14/2024
40058553,kmcalessgq,2/18/2020
34875700,lgladstonegr,6/1/2022
26753317,mpleygs,5/28/2024
27529125,sviangt,4/16/2022
33488446,dsmithergu,3/2/2020
42734121,irasmusgv,1/30/2020
25569838,cportchgw,9/6/2020
41958770,gshepherdgx,12/28/2024
43064832,cburgnegy,10/4/2023
30391877,btolladygz,1/1/2021
39960366,tanderssonh0,1/18/2020
37904690,cmackenh1,10/10/2022
40736627,bcortesh2,10/21/2021
31136051,cswindleh3,4/11/2023
36250088,bcroftsh4,8/4/2022
34566222,aklaiserh5,10/18/2020
23392067,rashelfordh6,11/25/2024
20878332,zfiddymonth7,4/1/2020
19069042,zosgerbyh8,11/22/2020
31684687,bleckeyh9,2/27/2022
37504613,nmacnairha,8/20/2021
23898275,nchopyhb,10/22/2021
39633944,eelenhc,3/27/2020
30413377,bpatyhd,12/14/2024
23103986,vwhordleyhe,7/3/2020
32016435,wgrimditchhf,9/25/2020
34016423,aorrisshg,11/19/2020
41202713,mwhitbreadhh,2/4/2023
25301507,aperrotthi,6/14/2020
34898989,gjerzycowskihj,8/18/2020
34192316,smillehk,8/13/2021
36806592,bredingtonhl,1/19/2022
28617586,echesleyhm,11/19/2022
35874546,kmarwoodhn,10/31/2022
20917594,jthredderho,5/5/2020
19742448,gpotthp,7/27/2020
41159911,fwisonhq,9/21/2024
38576551,rcouroyhr,2/15/2020
21900017,bfoddyhs,6/18/2021
36467519,pdivinyht,1/6/2021
32251283,rcranefieldhu,10/25/2023
42370297,vcodhv,7/19/2021
37895240,gyounglovehw,6/25/2021
23302436,smcneehx,11/7/2023
22764429,dfallishy,2/10/2022
20233731,msephtonhz,6/4/2020
36242002,nbellowsi0,7/29/2022
41119662,shastwalli1,4/25/2024
26803510,sflescheri2,2/17/2020
31077725,dhakeri3,2/2/2023
33570246,amundelli4,2/18/2022
34324278,nstarbecki5,3/21/2022
24295769,kdunbabini6,2/20/2022
37308512,wgrixi7,2/6/2020
32915962,sskellerni8,3/4/2022
30672373,lnielsoni9,3/22/2022
35429622,mgehringia,12/7/2022
40361869,rlunneyib,3/26/2020
39359323,wkoubekic,5/13/2022
35365968,lairdid,3/26/2021
28929557,rlevingeie,2/12/2021
30027578,klowrieif,9/12/2024
20258198,lfearneig,12/7/2023
41900992,awinsiowieckiih,1/30/2020
20555322,dferencii,4/24/2021
36554783,cfoulstoneij,3/6/2023
43161634,kdenricoik,7/29/2021
18826470,jrummeril,12/26/2024
20539307,dclayillim,9/20/2024
39617320,sorricein,3/11/2023
38385402,pnoelio,6/14/2023
34921253,scottinghamip,8/27/2024
38235277,clarediq,1/15/2022
22892649,lmccarrisonir,4/21/2022
18820643,fgoacheris,6/3/2022
42166726,mwilemanit,5/17/2020
22936561,mdonisthorpeiu,5/3/2024
38838288,apeaseyiv,3/16/2021
36536921,ldunphyiw,7/6/2024
31311999,santonucciix,11/5/2024
21433500,wpickupiy,7/13/2022
34944619,kblackmooriz,2/27/2020
43073531,hracherj0,1/19/2023
37859507,ejachtymj1,4/1/2024
21058294,awinskillj2,10/11/2020
21071471,bgobeauj3,11/18/2021
28158397,nbrosej4,12/27/2021
43187516,chushj5,7/4/2024
23465292,mhuguetj6,8/12/2021
38808670,kboyfordj7,3/29/2020
34280078,fjoffej8,4/20/2020
38873885,ftrotmanj9,7/22/2024
31334143,cpackmanja,10/18/2023
33020625,espracklingjb,9/23/2024
34916745,chartzogjc,11/12/2023
31046714,jcovingtonjd,2/1/2023
26399623,emilvarnieje,1/14/2023
35477901,mrenackownajf,4/23/2022
37517113,mriggertjg,11/29/2023
32835514,cpirellijh,12/10/2023
32237273,cplaneji,12/17/2021
34002864,spittwayjj,1/3/2021
38057285,jrimmerjk,5/18/2021
39696606,pmawsonjl,10/13/2023
25914982,lstollijm,11/22/2022
33633686,uwalderjn,12/2/2024
29204859,ehardingjo,1/26/2021
23126319,cbrowettjp,4/13/2023
28366457,hmaierjq,10/14/2022
19406294,bgilhouleyjr,4/16/2021
18946191,bodornanjs,1/30/2023
34013053,jwhistonjt,7/7/2021
33316329,ucamilioju,10/15/2023
27067489,bhaddockjv,6/3/2022
20024237,sbennettsjw,8/24/2024
36564759,kjeaneljx,9/10/2023
24376304,obaumjy,3/17/2020
18829341,domullenjz,6/24/2022
26931364,twickrathk0,10/27/2021
28817819,tsatcherk1,8/24/2021
40996293,jbemlottk2,8/30/2021
26867854,mlawelesk3,12/14/2020
29323036,mneathk4,7/19/2022
21157523,gfautlyk5,8/31/2022
32120202,aglendinningk6,12/15/2020
32864615,kposthillk7,1/29/2021
26898523,omeadenk8,10/16/2024
19644345,cdorseyk9,2/20/2022
31552357,ckystonka,2/15/2022
39873615,bblakeskb,11/10/2023
22125538,scristofolkc,10/10/2020
22987877,cdumbeltonkd,9/24/2021
42197306,smievilleke,10/3/2020
30444217,dkayserkf,6/23/2023
31730720,aphilpotskg,8/23/2021
23920449,fdamantkh,7/14/2022
23295127,alowryki,12/21/2021
25956209,bhollyerkj,9/19/2023
41810285,dvanoordkk,6/20/2020
40589542,lturbaynekl,4/5/2023
25337418,bliggonskm,1/19/2020
18587808,hbartolkn,1/5/2024
26983827,spetegrewko,2/27/2021
41950735,jscaykp,7/25/2023
40783544,icossonskq,6/13/2021
40535970,kfidockkr,2/2/2021
23491506,epilmoreks,9/8/2021
38614502,rliversidgekt,10/14/2021
21609897,myushkovku,10/7/2020
29119204,fgadiekv,4/30/2022
25417225,jpressdeekw,8/29/2024
26641230,jkeablekx,1/18/2020
40873276,omaccardky,9/21/2024
31671462,bironskz,6/16/2022
37760116,sbanhaml0,10/16/2024
25184432,econsidinel1,5/2/2020
21199336,aroubertl2,10/8/2021
29739467,dcrothersl3,11/14/2021
28155974,vdarlowl4,12/17/2020
28599088,droothaml5,8/13/2022
43431665,omonnil6,8/7/2021
28240764,lsuttlel7,5/29/2022
42351266,tjenkinsl8,9/25/2021
32327591,arickerseyl9,12/24/2021
35680982,sjankinla,7/15/2022
41272355,kwarinlb,10/10/2021
